Player,Category,total_score,seasons_played,avg_score,team
Mads Hermansen,GK,0.0324025840872913,1,0.0324025840872913,Leicester
Boaz Myhill,GK,0.0323525216552481,2,0.01617626082762405,West Brom
Tim Howard,GK,0.031899462892686,1,0.031899462892686,Everton
Wesley Foderingham,GK,0.0318603802379178,1,0.0318603802379178,Sheffield Utd
Julián Speroni,GK,0.0296607388124345,3,0.009886912937478167,Crystal Palace
Đorđe Petrović,GK,0.0281733054247627,1,0.0281733054247627,Chelsea
Michel Vorm,GK,0.0259895188530277,4,0.006497379713256925,Tottenham
Costel Pantilimon,GK,0.0257886155728911,2,0.01289430778644555,Watford
Keylor Navas,GK,0.0243513693785352,1,0.0243513693785352,Nottingham Forest
Sergio Romero,GK,0.022386625563435902,3,0.007462208521145301,Manchester United
Matt Turner,GK,0.0223161945358928,1,0.0223161945358928,Nottingham Forest
David Ospina,GK,0.0221759665253436,3,0.0073919888417812,Arsenal
David Marshall,GK,0.0206108864600189,1,0.0206108864600189,Hull City
Daniel Bentley,GK,0.020462414242742,3,0.006820804747580666,Wolves
Orestis Karnezis,GK,0.0188912917018949,1,0.0188912917018949,Watford
Ben Hamer,GK,0.0179539093059664,2,0.0089769546529832,Huddersfield
Alex Palmer,GK,0.0170362330931059,1,0.0170362330931059,Ipswich
Pepe Reina,GK,0.0169321395400416,1,0.0169321395400416,Aston Villa
Daniel Bachmann,GK,0.0163311651035729,1,0.0163311651035729,Watford
Daniel Iversen,GK,0.0162474612914104,1,0.0162474612914104,Leicester
Álvaro Fernández,GK,0.0162139629514692,1,0.0162139629514692,Brentford
Adam Federici,GK,0.0158698832301357,2,0.00793494161506785,Bournemouth
Shay Given,GK,0.0149437614692689,2,0.00747188073463445,Stoke City
Declan Rudd,GK,0.0149161506758413,1,0.0149161506758413,Norwich
Jakub Stolarczyk,GK,0.0144605394961785,1,0.0144605394961785,Leicester
Steve Mandanda,GK,0.013926999749442,1,0.013926999749442,Crystal Palace
Mark Bunn,GK,0.0137890781443281,1,0.0137890781443281,Aston Villa
Ørjan Nyland,GK,0.0130450248194783,1,0.0130450248194783,Aston Villa
David Button,GK,0.012952512057530698,2,0.006476256028765349,West Brom
Roberto Jiménez,GK,0.0129448281635004,1,0.0129448281635004,West Ham
Ivo Grbić,GK,0.0123519410012649,1,0.0123519410012649,Sheffield Utd
Marek Rodák,GK,0.012176154376672101,2,0.006088077188336051,Fulham
Ron-Robert Zieler,GK,0.0120438353867051,1,0.0120438353867051,Leicester
Marcus Bettinelli,GK,0.0112786906737117,1,0.0112786906737117,Fulham
Christian Walton,GK,0.0112258906359642,1,0.0112258906359642,Ipswich
Antonín Kinský,GK,0.0111990485854886,1,0.0111990485854886,Tottenham
Filip Jørgensen,GK,0.010902903877663,1,0.010902903877663,Chelsea
Will Norris,GK,0.0097146827929771,2,0.00485734139648855,Burnley
David Martin,GK,0.0096900475202025,1,0.0096900475202025,West Ham
Zack Steffen,GK,0.009246510322428,2,0.004623255161214,Manchester City
Odysseas Vlachodimos,GK,0.0089578350914891,1,0.0089578350914891,Nottingham Forest
Jakob Haugaard,GK,0.0089503611600869,1,0.0089503611600869,Stoke City
Kristoffer Nordfeldt,GK,0.008929024586612,2,0.004464512293306,Swansea
Jed Steer,GK,0.0086737750749007,2,0.00433688753745035,Aston Villa
Bailey Peacock-Farrell,GK,0.0083353767535902,1,0.0083353767535902,Burnley
Ilan Meslier,GK,0.0079050363129542,1,0.0079050363129542,Leeds
Ryan Allsop,GK,0.007853228664719401,2,0.003926614332359701,Bournemouth
Wes Foderingham,GK,0.0078321342430082,1,0.0078321342430082,Sheffield Utd
Freddie Woodman,GK,0.00774013874726,1,0.00774013874726,Newcastle
Altay Bayındır,GK,0.0076618304023952,1,0.0076618304023952,Manchester United
Joe Lumley,GK,0.0070614178920926,1,0.0070614178920926,Southampton
Kiko Casilla,GK,0.0068896039398042,1,0.0068896039398042,Leeds
Paul Robinson,GK,0.0067584782726476,1,0.0067584782726476,Burnley
Fabri,GK,0.0062079227794949,1,0.0062079227794949,Fulham
Simon Moore,GK,0.0061926656814207,1,0.0061926656814207,Sheffield Utd
Joe Whitworth,GK,0.0061891286612681,1,0.0061891286612681,Crystal Palace
Thomas Strakosha,GK,0.005860471864169,1,0.005860471864169,Brentford
Ionuț Radu,GK,0.0057322477303202,1,0.0057322477303202,Bournemouth
Hákon Rafn Valdimarsson,GK,0.0057109954966234,1,0.0057109954966234,Brentford
Ádám Bogdán,GK,0.0054046451986128,1,0.0054046451986128,Liverpool
Joel Coleman,GK,0.0053811318558562,1,0.0053811318558562,Huddersfield
Ralf Fährmann,GK,0.0053442877442281,1,0.0053442877442281,Norwich
Daniel Ward,GK,0.0052886098847222,1,0.0052886098847222,Liverpool
Scott Carson,GK,0.0051683139053416,1,0.0051683139053416,Manchester City
João Virgínia,GK,0.0051204437668257,1,0.0051204437668257,Everton
Michael McGovern,GK,0.0051143350102444,1,0.0051143350102444,Norwich
Kristoffer Klaesson,GK,0.0050600006360036,1,0.0050600006360036,Leeds
Brandon Austin,GK,0.0049485872624048,1,0.0049485872624048,Tottenham
Joel Pereira,GK,0.0047139465628626,1,0.0047139465628626,Manchester United
Remi Matthews,GK,0.0042142994781914,1,0.0042142994781914,Crystal Palace
Kelvin Davis,GK,0.0042086931884332,1,0.0042086931884332,Southampton
Rúnar Alex Rúnarsson,GK,0.0040798285604049,1,0.0040798285604049,Arsenal
James Shea,GK,0.0039553012339075,1,0.0039553012339075,Luton
Vítězslav Jaroš,GK,0.0035263881817734,1,0.0035263881817734,Liverpool
Tom King,GK,0.0034128880483946,1,0.0034128880483946,Wolves
Giedrius Arlauskis,GK,0.0032900804911438,1,0.0032900804911438,Watford
