Category,n,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,RMSE,MAE,a_intercept,b_slope
GK,9,0.27615304488938863,0.47196179260238613,0.253546276418555,0.3454475304692257,0.1301822351611192,0.11126618796858276,6.345593377977465,9.755456227185512
DF,62,0.12670664188886224,0.32642135410150064,0.08670361181909554,0.32191701194438216,0.2651129099173347,0.22457581676236668,6.892246479730636,10.012051063967494
MF,103,0.5533772955280835,1.3430538256792609e-09,0.41143674814577896,8.595616524775488e-10,0.23550441998768662,0.17609355073958496,6.747648898204395,52.35137862706939
FW,68,0.19065119062978284,0.11939344318874709,0.11998264736326679,0.14978192131241064,0.31730352638437953,0.2452342095582095,6.943681279306968,14.024854884172397
