Player,Category,total_score,seasons_played,avg_score,team
Alexander Sørloth,FW,0.0024872752865196,2,0.0012436376432598,Crystal Palace
Tanguy Ndombélé,FW,0.0024427419991487,1,0.0024427419991487,Tottenham
Marco Asensio,FW,0.0024133872698142,1,0.0024133872698142,Aston Villa
Jonathan Calleri,FW,0.0023611909361279,1,0.0023611909361279,West Ham
Danilo,FW,0.0023601329296037,2,0.00118006646480185,Nottingham Forest
Arnaut Danjuma,FW,0.002355278942146,2,0.001177639471073,Everton
Cauley Woodrow,FW,0.0023547106642494,1,0.0023547106642494,Luton
Max Gradel,FW,0.0023496073998218,2,0.0011748036999109,Bournemouth
Ryan Christie,FW,0.0023421514175659,1,0.0023421514175659,Bournemouth
Tyler Dibling,FW,0.0023251607347332,1,0.0023251607347332,Southampton
Sergi Canós,FW,0.0023030142461177,2,0.00115150712305885,Brentford
Ken Sema,FW,0.0022998595793096,1,0.0022998595793096,Watford
M'Baye Niang,FW,0.0022768416824797,1,0.0022768416824797,Watford
Ferran Torres,FW,0.0022625562924742,1,0.0022625562924742,Manchester City
Yankuba Minteh,FW,0.0022574380598503,1,0.0022574380598503,Brighton
Josh Murphy,FW,0.0022365570347148,1,0.0022365570347148,Cardiff
Milot Rashica,FW,0.0021754071871887,1,0.0021754071871887,Norwich
Richairo Zivkovic,FW,0.0021653569441881,1,0.0021653569441881,Sheffield Utd
Elias Kachunga,FW,0.0021555081874647,2,0.00107775409373235,Huddersfield
Amadou Onana,FW,0.0021495049671705,1,0.0021495049671705,Everton
James Milner,FW,0.0021443976848172,1,0.0021443976848172,Liverpool
Federico Chiesa,FW,0.0021423236715385,1,0.0021423236715385,Liverpool
Marcus Tavernier,FW,0.0021344573390716,2,0.0010672286695358,Bournemouth
Stephy Mavididi,FW,0.0021282732807128,1,0.0021282732807128,Leicester
Isaac Mbenza,FW,0.0021240255305913,1,0.0021240255305913,Huddersfield
Mike Trésor,FW,0.002113558406533,1,0.002113558406533,Burnley
Aaron Ramsey,FW,0.0020926354844836,2,0.0010463177422418,Arsenal
Evandro,FW,0.0020836187845572,1,0.0020836187845572,Hull City
Jason Puncheon,FW,0.0020768079170219,1,0.0020768079170219,Crystal Palace
Chiquinho,FW,0.0020682471188931,2,0.00103412355944655,Wolves
Enock Mwepu,FW,0.0020572517461819,2,0.00102862587309095,Brighton
Kiernan Dewsbury-Hall,FW,0.0020558675750529,1,0.0020558675750529,Leicester
Ashley Young,FW,0.0020354387055627,1,0.0020354387055627,Aston Villa
Matheus França,FW,0.0020260448708566,2,0.0010130224354283,Crystal Palace
Matt O'Riley,FW,0.0020033954485533,1,0.0020033954485533,Brighton
Christian Stuani,FW,0.0019829828759425,1,0.0019829828759425,Middlesbrough
Juan Iturbe,FW,0.0019814578590343,1,0.0019814578590343,Bournemouth
Clinton N'Jie,FW,0.001969695330185,1,0.001969695330185,Tottenham
Jacob Ramsey,FW,0.0019629535021808003,2,0.0009814767510904002,Aston Villa
Ellis Simms,FW,0.001957185513431,2,0.0009785927567155,Everton
Ricardo Pereira,FW,0.0019425406786209,1,0.0019425406786209,Leicester
Ismaila Sarr,FW,0.0019318602435712,1,0.0019318602435712,Watford
Dame N'Doye,FW,0.0019222380792974,1,0.0019222380792974,Sunderland
Hamed Junior Traorè,FW,0.0019205970941579,1,0.0019205970941579,Bournemouth
Idrissa Gueye,FW,0.0019136000629827,1,0.0019136000629827,Aston Villa
Simone Zaza,FW,0.0019122347706404,1,0.0019122347706404,West Ham
Jerome Sinclair,FW,0.0019093578245030001,2,0.0009546789122515001,Watford
Ben Osborn,FW,0.0018771143068511,1,0.0018771143068511,Sheffield Utd
Radamel Falcao,FW,0.0018767859839491,1,0.0018767859839491,Chelsea
Guido Carrillo,FW,0.0018648203892168,1,0.0018648203892168,Southampton
Jefferson Montero,FW,0.0018627908515933,2,0.00093139542579665,Swansea
Ansu Fati,FW,0.0018519832961653,1,0.0018519832961653,Brighton
Alexandre Pato,FW,0.0018471319119396,1,0.0018471319119396,Chelsea
Yves Bissouma,FW,0.0018463111649749,2,0.00092315558248745,Brighton
Kenedy,FW,0.0018191148736,1,0.0018191148736,Chelsea
Craig Gardner,FW,0.0018179395694687,1,0.0018179395694687,West Brom
Jayden Danns,FW,0.0018142663776246001,2,0.0009071331888123001,Liverpool
Julien Ngoy,FW,0.0018107133595705,2,0.00090535667978525,Stoke City
Samuel Edozie,FW,0.0018101747557573,1,0.0018101747557573,Southampton
Jonathan Howson,FW,0.0018079465554188,1,0.0018079465554188,Norwich
Joe Aribo,FW,0.0017847348403103,1,0.0017847348403103,Southampton
Angel Gomes,FW,0.0017785083750949,1,0.0017785083750949,Manchester United
Floyd Ayité,FW,0.0017760132448139,1,0.0017760132448139,Fulham
Rodrigo Gomes,FW,0.0017676091354992,1,0.0017676091354992,Wolves
Leander Dendoncker,FW,0.0017634058876181,1,0.0017634058876181,Wolves
Rajiv Van La Parra,FW,0.001752622973157,2,0.0008763114865785,Huddersfield
Rolando Aarons,FW,0.0017473062594002,2,0.0008736531297001,Newcastle
Dan N'Lundulu,FW,0.0017459549965147,1,0.0017459549965147,Southampton
Mario Lemina,FW,0.0017441758574595,2,0.00087208792872975,Wolves
Sofiane Feghouli,FW,0.001736720383157,1,0.001736720383157,West Ham
Adama Diakhaby,FW,0.0017126948759394,1,0.0017126948759394,Huddersfield
Antwoine Hackford,FW,0.0017116509533932,2,0.0008558254766966,Sheffield Utd
Elliot Anderson,FW,0.0017056970862454,1,0.0017056970862454,Newcastle
Fousseni Diabaté,FW,0.0017042878156214,1,0.0017042878156214,Leicester
Ramón Sosa,FW,0.0016967502571508,1,0.0016967502571508,Nottingham Forest
George Honeyman,FW,0.0016955848860421,1,0.0016955848860421,Sunderland
Jay Stansfield,FW,0.0016779665866604,2,0.0008389832933302,Fulham
Jesús Navas,FW,0.0016735222408532,1,0.0016735222408532,Manchester City
Shola Shoretire,FW,0.0016723602484471,2,0.00083618012422355,Manchester United
Curtis Jones,FW,0.0016723467611407,1,0.0016723467611407,Liverpool
İlkay Gündoğan,FW,0.0016638956253184,1,0.0016638956253184,Manchester City
Christos Tzolis,FW,0.0016634413269959,1,0.0016634413269959,Norwich
José Jurado,FW,0.0016535396015095,1,0.0016535396015095,Watford
Samuel Amo-Ameyaw,FW,0.0016473334882232,2,0.0008236667441116,Southampton
Alessandro Diamanti,FW,0.0016431978800921,1,0.0016431978800921,Watford
Thomas Cannon,FW,0.0016325542083075,2,0.00081627710415375,Everton
Ahmed Musa,FW,0.0016321585352957,1,0.0016321585352957,Leicester
Donyell Malen,FW,0.0016308926610613,1,0.0016308926610613,Aston Villa
Tommy Doyle,FW,0.0016218041189946,1,0.0016218041189946,Wolves
Ander Herrera,FW,0.001621611294008,1,0.001621611294008,Manchester United
Jack Wilshere,FW,0.0016195679563269,1,0.0016195679563269,Bournemouth
Lazar Marković,FW,0.0016045133540377,1,0.0016045133540377,Hull City
Kaide Gordon,FW,0.0015924194638431,2,0.00079620973192155,Liverpool
Étienne Capoue,FW,0.0015804509259568,1,0.0015804509259568,Watford
Ben Doak,FW,0.0015750744129643,2,0.00078753720648215,Liverpool
Tomáš Souček,FW,0.0015301382579514,1,0.0015301382579514,West Ham
Léo Bonatini,FW,0.0015189272662721,1,0.0015189272662721,Wolves
Percy Tau,FW,0.0015142886769128,1,0.0015142886769128,Brighton
Sheyi Ojo,FW,0.001513484595041,1,0.001513484595041,Liverpool
Ikechi Anya,FW,0.0015095730993931,1,0.0015095730993931,Watford
Carlos Alcaraz,FW,0.0015015129462424,1,0.0015015129462424,Southampton
Ian Carlo Poveda,FW,0.0014921323777884,1,0.0014921323777884,Leeds
Oscar Bobb,FW,0.0014875971193774,1,0.0014875971193774,Manchester City
Stéphane Sessègnon,FW,0.0014835833548153,1,0.0014835833548153,West Brom
Joel Campbell,FW,0.0014768855003624,1,0.0014768855003624,Arsenal
Matheus Nunes,FW,0.0014651074114209,1,0.0014651074114209,Manchester City
Anass Zaroury,FW,0.0014536753593833,1,0.0014536753593833,Burnley
Enzo Fernández,FW,0.0014410964998272,1,0.0014410964998272,Chelsea
Rachid Ghezzal,FW,0.0014125658935408,1,0.0014125658935408,Leicester
Steven Alzate,FW,0.0014065447253489,1,0.0014065447253489,Brighton
Bilal El Khannouss,FW,0.0013824692310995,1,0.0013824692310995,Leicester
Romain Esse,FW,0.0013802752769364,1,0.0013802752769364,Crystal Palace
Diogo Dalot,FW,0.0013560960595704,1,0.0013560960595704,Manchester United
Jay Robinson,FW,0.0013328300920151,1,0.0013328300920151,Southampton
Christian Atsu,FW,0.0013277624114442,1,0.0013277624114442,Newcastle
Yann Kermorgant,FW,0.001325744392813,1,0.001325744392813,Bournemouth
David Nugent,FW,0.0013069197778392,1,0.0013069197778392,Middlesbrough
Eunan O'Kane,FW,0.0012949839258003,1,0.0012949839258003,Bournemouth
Carney Chukwuemeka,FW,0.001282487635292,1,0.001282487635292,Chelsea
Conor Chaplin,FW,0.0012683121304294,1,0.0012683121304294,Ipswich
Victor Moses,FW,0.0012573066528529,1,0.0012573066528529,West Ham
Jake Evans,FW,0.0012560062255582,1,0.0012560062255582,Leicester
Pablo Hernández,FW,0.0012511667831991,1,0.0012511667831991,Leeds
Ivan Perišić,FW,0.0012495654458729,1,0.0012495654458729,Tottenham
Benie Traore,FW,0.0012465542871999,1,0.0012465542871999,Sheffield Utd
Daichi Kamada,FW,0.0012450487427431,1,0.0012450487427431,Crystal Palace
Nathan Broadhead,FW,0.0012371541422184,1,0.0012371541422184,Ipswich
Jonathan Leko,FW,0.0012273997451759,1,0.0012273997451759,West Brom
Marcus Forss,FW,0.0012226295945802,1,0.0012226295945802,Brentford
Georginio Wijnaldum,FW,0.001220403610164,1,0.001220403610164,Newcastle
Kieran Dowell,FW,0.0012162359638844,1,0.0012162359638844,Norwich
Jonathan Kodjia,FW,0.0012106993580955,1,0.0012106993580955,Aston Villa
Nathan Fraser,FW,0.0011948491872678,1,0.0011948491872678,Wolves
Mateusz Klich,FW,0.0011793248941273,1,0.0011793248941273,Leeds
Albian Ajeti,FW,0.0011712012622987,1,0.0011712012622987,West Ham
Jota,FW,0.0011574522931543,1,0.0011574522931543,Aston Villa
Rodrigo Ribeiro,FW,0.0011519755684403,1,0.0011519755684403,Nottingham Forest
João Moutinho,FW,0.0011516495399296,1,0.0011516495399296,Wolves
Sergio Gómez,FW,0.0011473970736459,1,0.0011473970736459,Manchester City
Jordan Rhodes,FW,0.0011402107699735,1,0.0011402107699735,Middlesbrough
Seydou Doumbia,FW,0.0011297246067109,1,0.0011297246067109,Newcastle
Nathaniel Mendez-Laing,FW,0.001122021078676,1,0.001122021078676,Cardiff
Rhys Healey,FW,0.0011217399173732,1,0.0011217399173732,Cardiff
Junior Hoilett,FW,0.0011167085038954,1,0.0011167085038954,Cardiff
Dan Gosling,FW,0.0011151032557643,1,0.0011151032557643,Bournemouth
Aaron Wan-Bissaka,FW,0.001114773781384,1,0.001114773781384,Manchester United
Dennis Srbeny,FW,0.0011062139526356,1,0.0011062139526356,Norwich
Mikey Moore,FW,0.0011039668540568,1,0.0011039668540568,Tottenham
Jon Rowe,FW,0.0010980965672108,1,0.0010980965672108,Norwich
Marc Pugh,FW,0.0010973985191487,1,0.0010973985191487,Bournemouth
Tariq Lamptey,FW,0.0010970729883781,1,0.0010970729883781,Brighton
