Player,Score,Category,team
Sergio Romero,0.01158597851858844,GK,Manchester United
Michel Vorm,0.005654706446346577,GK,Tottenham
Artur Boruc,0.03872544363564355,GK,Bournemouth
Brad Guzan,0.03586577313522726,GK,Aston Villa
John Ruddy,0.03168016210115871,GK,Norwich
Alex McCarthy,0.010452146735398394,GK,Crystal Palace
Kasper Schmeichel,0.04547551592802633,GK,Leicester
Costel Pantilimon,0.020827507085998703,GK,Sunderland
Tim Howard,0.03189946289268606,GK,Everton
Heurelho Gomes,0.047689297420162986,GK,Watford
Thibaut Courtois,0.02754061272708609,GK,Chelsea
Asmir Begović,0.02031736038122825,GK,Chelsea
Łukasz Fabiański,0.0465110033591367,GK,Swansea
Tim Krul,0.013470284807084787,GK,Newcastle
Maarten Stekelenburg,0.02216118161823199,GK,Southampton
Petr Čech,0.03943790313673995,GK,Arsenal
Adrián,0.037472037440589474,GK,West Ham
Jack Butland,0.03576587133677404,GK,Stoke City
Simon Mignolet,0.0392468204873281,GK,Liverpool
Boaz Myhill,0.027305806857144035,GK,West Brom
Joe Hart,0.045109334022709995,GK,Manchester City
Hugo Lloris,0.04633327751873227,GK,Tottenham
Darren Randolph,0.010409745915863283,GK,West Ham
David De Gea,0.040976093601551015,GK,Manchester United
Willy Caballero,0.007265027342259355,GK,Manchester City
Wayne Hennessey,0.03540360707504811,GK,Crystal Palace
Adam Federici,0.01017597005217842,GK,Bournemouth
Kelvin Davis,0.004208693188433208,GK,Southampton
Robert Elliot,0.025442682924627716,GK,Newcastle
Ryan Allsop,0.003191489361702128,GK,Bournemouth
Giedrius Arlauskis,0.0032900804911438716,GK,Watford
Declan Rudd,0.014916150675841362,GK,Norwich
Paulo Gazzaniga,0.0052935837322657595,GK,Southampton
Ádám Bogdán,0.005404645198612875,GK,Liverpool
Vito Mannone,0.02363250157708203,GK,Sunderland
Karl Darlow,0.01274944333968991,GK,Newcastle
Mark Bunn,0.013789078144328101,GK,Aston Villa
Fraser Forster,0.023346568337434172,GK,Southampton
Jordan Pickford,0.00532264609109087,GK,Sunderland
Ben Foster,0.020231163059372174,GK,West Brom
Joel Robles,0.017363898853720132,GK,Everton
David Ospina,0.007453303474230444,GK,Arsenal
Julián Speroni,0.0053493862345175575,GK,Crystal Palace
Jakob Haugaard,0.00895036116008697,GK,Stoke City
Daniel Ward,0.005288609884722298,GK,Liverpool
Shay Given,0.005730765267500821,GK,Stoke City
Kristoffer Nordfeldt,0.004287017424674422,GK,Swansea
Matteo Darmian,0.006574159723543591,DF,Manchester United
Chris Smalling,0.011023083009379436,DF,Manchester United
Daley Blind,0.0135690003738446,DF,Manchester United
Luke Shaw,0.001768101451993841,DF,Manchester United
Kyle Walker,0.01022410917165192,DF,Tottenham
Toby Alderweireld,0.01249537129952432,DF,Tottenham
Jan Vertonghen,0.009988357336547623,DF,Tottenham
Ben Davies,0.004855296705005185,DF,Tottenham
Simon Francis,0.012799116228138657,DF,Bournemouth
Tommy Elphick,0.003859907481529665,DF,Bournemouth
Steve Cook,0.010141477524411751,DF,Bournemouth
Charlie Daniels,0.011014763533529624,DF,Bournemouth
Leandro Bacuna,0.004936112130249682,DF,Aston Villa
Micah Richards,0.007038715427889118,DF,Aston Villa
Ciaran Clark,0.00453294785459887,DF,Aston Villa
Jordan Amavi,0.0031402714085502956,DF,Aston Villa
Steven Whittaker,0.002356247368329735,DF,Norwich
Russell Martin,0.007937481315757926,DF,Norwich
Sebastien Bassong,0.007236730622401481,DF,Norwich
Robbie Brady,0.0059595325535276005,DF,Norwich
Joel Ward,0.00900611019567595,DF,Crystal Palace
Scott Dann,0.009059401802756998,DF,Crystal Palace
Damien Delaney,0.008136725530587923,DF,Crystal Palace
Pape Souaré,0.009598312754374167,DF,Crystal Palace
Ritchie De Laet,0.0027239257102770415,DF,Leicester
Robert Huth,0.007807953239629889,DF,Leicester
Wes Morgan,0.009187637497174939,DF,Leicester
Jeffrey Schlupp,0.0029657461793943934,DF,Leicester
Christian Fuchs,0.010175190357465058,DF,Leicester
Yohan Benalouane,0.0008538769462233833,DF,Leicester
Billy Jones,0.005654131194891136,DF,Sunderland
Sebastián Coates,0.004543357574756884,DF,Sunderland
Younès Kaboul,0.00627508596260294,DF,Sunderland
Patrick van Aanholt,0.009345524210705766,DF,Sunderland
Adam Matthews,0.0008391306625209117,DF,Sunderland
Séamus Coleman,0.0074903483378852154,DF,Everton
John Stones,0.010393804699277025,DF,Everton
Phil Jagielka,0.007676293698718592,DF,Everton
Brendon Galloway,0.004236202517227201,DF,Everton
Bryan Oviedo,0.004026555354388706,DF,Everton
Allan Nyom,0.007406550406625228,DF,Watford
Sebastian Prödl,0.005512295037907903,DF,Watford
Craig Cathcart,0.00876695372318252,DF,Watford
José Holebas,0.0036979764031195256,DF,Watford
Branislav Ivanović,0.010668371219998248,DF,Chelsea
Gary Cahill,0.006978632858107835,DF,Chelsea
John Terry,0.006754172034388479,DF,Chelsea
César Azpilicueta,0.014397104392490544,DF,Chelsea
Kurt Zouma,0.006429670233872566,DF,Chelsea
Kyle Naughton,0.0066740061361969414,DF,Swansea
Federico Fernández,0.010936520669475164,DF,Swansea
Ashley Williams,0.012071920363343869,DF,Swansea
Neil Taylor,0.008780385131156391,DF,Swansea
Daryl Janmaat,0.009109176399428634,DF,Newcastle
Chancel Mbemba,0.01012999721118342,DF,Newcastle
Fabricio Coloccini,0.00775896337435784,DF,Newcastle
Massadio Haïdara,0.0025357800658175915,DF,Newcastle
Cheik Tiote,0.0010108904430007788,DF,Newcastle
Cédric Soares,0.005243651483725898,DF,Southampton
José Fonte,0.011400359839141313,DF,Southampton
Maya Yoshida,0.004200796580156893,DF,Southampton
Matt Targett,0.00236778546314409,DF,Southampton
Cuco Martina,0.004794618722136321,DF,Southampton
Mathieu Debuchy,0.0012464111394320846,DF,Arsenal
Per Mertesacker,0.007914886170901879,DF,Arsenal
Laurent Koscielny,0.012641887437204995,DF,Arsenal
Nacho Monreal,0.013744479379388615,DF,Arsenal
James Tomkins,0.00711454776097256,DF,West Ham
Winston Reid,0.007989863191841641,DF,West Ham
Angelo Ogbonna,0.0077299711571016845,DF,West Ham
Aaron Cresswell,0.00965884385633299,DF,West Ham
Glen Johnson,0.0074188222447759255,DF,Stoke City
Geoff Cameron,0.00634959865273276,DF,Stoke City
Marc Muniesa,0.004640754205651162,DF,Stoke City
Erik Pieters,0.011579938690690354,DF,Stoke City
Philipp Wollscheid,0.010013086971461391,DF,Stoke City
Nathaniel Clyne,0.00975564570886059,DF,Liverpool
Martin Škrtel,0.007086900383470928,DF,Liverpool
Dejan Lovren,0.007290672539185755,DF,Liverpool
Joe Gomez,0.001934875244279999,DF,Liverpool
James Chester,0.003278203507392908,DF,West Brom
Craig Dawson,0.009358926083081483,DF,West Brom
Joleon Lescott,0.009284145112427191,DF,Aston Villa
Chris Brunt,0.003707767140052426,DF,West Brom
Bacary Sagna,0.009464644162792106,DF,Manchester City
Vincent Kompany,0.004320747231841368,DF,Manchester City
Eliaquim Mangala,0.007409777532610858,DF,Manchester City
Aleksandar Kolarov,0.008180970991679816,DF,Manchester City
Martín Demichelis,0.003922254610612643,DF,Manchester City
Tyias Browning,0.0014161773637122585,DF,Everton
Carl Jenkinson,0.003498281218310327,DF,West Ham
Steven Taylor,0.003043515331347893,DF,Newcastle
Ikechi Anya,0.0039624536783156175,DF,Watford
Gareth McAuley,0.008483933757552475,DF,West Brom
Jonas Olsson,0.005042190519038376,DF,West Brom
Héctor Bellerín,0.01185919941571898,DF,Arsenal
Kieran Gibbs,0.0016043081015928626,DF,Arsenal
Alberto Moreno,0.009658609335905975,DF,Liverpool
Adam Smith,0.006951769268267386,DF,Bournemouth
John O'Shea,0.0056662092441098376,DF,Sunderland
Steven Caulker,0.0011695035779494623,DF,Liverpool
Calum Chambers,0.001463891944500268,DF,Arsenal
Gabriel Paulista,0.008127451324720559,DF,Arsenal
Tyrone Mings,0.0007841023149061015,DF,Bournemouth
Alan Hutton,0.005755711357412969,DF,Aston Villa
Miguel Layún,0.0007831240798462488,DF,Watford
Marc Wilson,0.0013666257569586904,DF,Stoke City
Cristian Gamboa,0.0008124607538614428,DF,West Brom
Reece Oxford,0.0009673965280861226,DF,West Ham
Danny Rose,0.006943384449922183,DF,Tottenham
Andre Wisdom,0.0028108476719820863,DF,Norwich
Kyle Bartley,0.0014312839490012482,DF,Swansea
Ramiro Funes Mori,0.00881513374889906,DF,Everton
Martin Olsson,0.004708787009799684,DF,Norwich
Martin Kelly,0.0036629269650244865,DF,Crystal Palace
Brede Hangeland,0.0024154016909693488,DF,Crystal Palace
Jonny Evans,0.008288294096620075,DF,West Brom
Virgil van Dijk,0.011845575437315254,DF,Southampton
Phil Bardsley,0.0032142398945407065,DF,Stoke City
Sylvain Distin,0.003709518713103496,DF,Bournemouth
Nathan Aké,0.006782072837450458,DF,Watford
Nicolás Otamendi,0.011179370566926845,DF,Manchester City
James Collins,0.004144129317508249,DF,West Ham
Marcos Rojo,0.005050273428454927,DF,Manchester United
Paddy McNair,0.0016840135013342808,DF,Manchester United
Emre Can,0.0017520993541310596,DF,Liverpool
Mamadou Sakho,0.008170223360754599,DF,Liverpool
Antonio Valencia,0.003421953330276077,DF,Manchester United
Phil Jones,0.0024883609788197035,DF,Manchester United
Ryan Bertrand,0.008810192395323666,DF,Southampton
Kevin Mbabu,0.0011498391165435083,DF,Newcastle
Danny Simpson,0.00794604734930237,DF,Leicester
Pablo Zabaleta,0.004455516045696205,DF,Manchester City
Jamaal Lascelles,0.003807256321438702,DF,Newcastle
José Ángel Crespo,0.000964026753255028,DF,Aston Villa
DeAndre Yedlin,0.00492293306336036,DF,Sunderland
Ashley Young,0.0030203454880086194,DF,Manchester United
Àngel Rangel,0.007636095507400086,DF,Swansea
Abdul Baba Rahman,0.0051396084487788825,DF,Chelsea
Kieran Richardson,0.0018314670485871961,DF,Aston Villa
Paul Dummett,0.00587565371087242,DF,Newcastle
Adrian Mariappa,0.00137403914460423,DF,Crystal Palace
Miguel Britos,0.006410454124161353,DF,Watford
Ryan Bennett,0.004985893324559185,DF,Norwich
Kieran Trippier,0.0023314053540279254,DF,Tottenham
Ryan Shawcross,0.005125566778767326,DF,Stoke City
Wes Brown,0.0018436829093829462,DF,Sunderland
Cameron Borthwick-Jackson,0.002757561820216837,DF,Manchester United
Kenedy,0.0014179731168113027,DF,Chelsea
Kolo Touré,0.004032396486205349,DF,Liverpool
Jores Okore,0.004222793386063908,DF,Aston Villa
Guillermo Varela,0.002112993859919975,DF,Manchester United
Leighton Baines,0.006104063361308036,DF,Everton
Gaël Clichy,0.00525932514033754,DF,Manchester City
Marcin Wasilewski,0.0015734454995200457,DF,Leicester
Muhamed Bešić,0.0009417494068463428,DF,Everton
Jordi Amat,0.002220238284756663,DF,Swansea
Eric Dier,0.001185004054051564,DF,Tottenham
Bradley Smith,0.0013722585383175055,DF,Liverpool
Aly Cissokho,0.00469506616065552,DF,Aston Villa
Jan Kirchhoff,0.0007787145963644601,DF,Sunderland
Ivo Pinto,0.0037388474118872773,DF,Norwich
Juan Carlos Paredes,0.002144494991933855,DF,Watford
Kevin Wimmer,0.0035249856747650095,DF,Tottenham
Sam Byram,0.0014297618147262132,DF,West Ham
Lamine Koné,0.004981446356383667,DF,Sunderland
Timm Klose,0.003161946247639002,DF,Norwich
Rolando Aarons,0.001236205657555748,DF,Newcastle
Donald Love,0.0009428907035216637,DF,Manchester United
Dionatan Teixeira,0.0008149574689144256,DF,Stoke City
Kevin Stewart,0.0007956647064356548,DF,Liverpool
Daniel Amartey,0.0010015351674305035,DF,Leicester
Michael Carrick,0.0010321518859660182,DF,Manchester United
Timothy Fosu-Mensah,0.0017614267532447521,DF,Manchester United
James Weir,0.0007628445089160272,DF,Manchester United
Vurnon Anita,0.0025669372847437534,DF,Newcastle
