Player,Score,Category,team
Destiny Udogie,0.008361291601414125,DF,Tottenham
Davinson Sánchez,0.0012418361708186653,DF,Tottenham
Axel Disasi,0.008128947792887593,DF,Chelsea
Thiago Silva,0.010617888632565775,DF,Chelsea
Levi Colwill,0.00712829083049484,DF,Chelsea
Malo Gusto,0.005143315267825246,DF,Chelsea
Ian Maatsen,0.0008233635597089103,DF,Chelsea
Trent Alexander-Arnold,0.006300778273821467,DF,Liverpool
Ibrahima Konaté,0.005880516637375791,DF,Liverpool
Virgil van Dijk,0.010460645466624872,DF,Liverpool
Andrew Robertson,0.005007907863845822,DF,Liverpool
Aaron Wan-Bissaka,0.007904683767978113,DF,Manchester United
Raphaël Varane,0.004779505311617258,DF,Manchester United
Lisandro Martínez,0.0028292769650250385,DF,Manchester United
Luke Shaw,0.003080519904838201,DF,Manchester United
Victor Lindelöf,0.004013789096417499,DF,Manchester United
Nélson Semedo,0.004654488906450857,DF,Wolves
Craig Dawson,0.008458980203697767,DF,Wolves
Max Kilman,0.011772533934555835,DF,Wolves
Rayan Aït Nouri,0.002032816076338174,DF,Wolves
Hugo Bueno,0.0015337482592511836,DF,Wolves
Jakub Kiwior,0.0035995171302891874,DF,Arsenal
Oleksandr Zinchenko,0.005426245130812699,DF,Arsenal
Calvin Bassey,0.008251107110299782,DF,Fulham
Joe Gomez,0.004173258856229863,DF,Liverpool
Konstantinos Tsimikas,0.0021027212630127094,DF,Liverpool
Lloyd Kelly,0.004627805306207283,DF,Bournemouth
Teden Mengi,0.010940660298509177,DF,Luton
Reece Burke,0.0062991465825922984,DF,Luton
Charlie Taylor,0.007213613900314302,DF,Burnley
Hannes Delcroix,0.0024227566925920964,DF,Burnley
Rúben Dias,0.008854262660635707,DF,Manchester City
Valentino Livramento,0.004311886666925281,DF,Newcastle
Moussa Niakhaté,0.0065319146224776066,DF,Nottingham Forest
Chris Basham,0.0012871040440177758,DF,Sheffield Utd
Pedro Porro,0.011294480422651151,DF,Tottenham
