Player,Score,Category,team
James Trafford,0.03582741220147546,GK,Burnley
Ederson,0.03869213331029429,GK,Manchester City
Aaron Ramsdale,0.009945054498551388,GK,Arsenal
Matt Turner,0.022361992256270877,GK,Nottingham Forest
Neto,0.03763918365740011,GK,Bournemouth
Alphonse Aréola,0.04027150490339453,GK,West Ham
Jason Steele,0.021273796036354643,GK,Brighton
Thomas Kaminski,0.04451414908340765,GK,Luton
Jordan Pickford,0.04540875770947976,GK,Everton
Bernd Leno,0.04669606090193882,GK,Fulham
Wes Foderingham,0.007845646423583943,GK,Sheffield Utd
Sam Johnstone,0.02486707271538747,GK,Crystal Palace
Nick Pope,0.019720599754500183,GK,Newcastle
Emiliano Martínez,0.03931942910978785,GK,Aston Villa
Mark Flekken,0.043862610672498685,GK,Brentford
Guglielmo Vicario,0.04407815084573641,GK,Tottenham
Robert Sánchez,0.020894001429421206,GK,Chelsea
Alisson,0.03664542301802512,GK,Liverpool
André Onana,0.047020734181721105,GK,Manchester United
José Sá,0.040364547673973454,GK,Wolves
Bart Verbruggen,0.02831868386542296,GK,Brighton
Robin Olsen,0.00927662477576243,GK,Aston Villa
David Raya,0.04219769950689474,GK,Arsenal
Wesley Foderingham,0.03181804076897473,GK,Sheffield Utd
Thomas Strakosha,0.005262430937846625,GK,Brentford
Stefan Ortega,0.013310552219194437,GK,Manchester City
Ionuț Radu,0.005742747578168233,GK,Bournemouth
Odysseas Vlachodimos,0.008952240901660712,GK,Nottingham Forest
Daniel Bentley,0.009000726542462374,GK,Wolves
Caoimhin Kelleher,0.015235818648617248,GK,Liverpool
Martin Dúbravka,0.028750220203696195,GK,Newcastle
Łukasz Fabiański,0.012391076029109951,GK,West Ham
Remi Matthews,0.004214754580377214,GK,Crystal Palace
Đorđe Petrović,0.02829403633529308,GK,Chelsea
Dean Henderson,0.025072959969103956,GK,Crystal Palace
Ivo Grbić,0.012365801308330659,GK,Sheffield Utd
Matz Sels,0.021686609299071992,GK,Nottingham Forest
Loris Karius,0.004779488000559228,GK,Newcastle
Arijanet Murić,0.014274540326810591,GK,Burnley
Mark Travers,0.007913818311835482,GK,Bournemouth
James Shea,0.003892869507604206,GK,Luton
Connor Roberts,0.002334868524877064,DF,Burnley
Ameen Al-Dakhil,0.003085625887638015,DF,Burnley
Dara O'Shea,0.00835573051857834,DF,Burnley
Jordan Beyer,0.00618700391191164,DF,Burnley
Vitinho,0.006190895670476378,DF,Burnley
Kyle Walker,0.007556392435087848,DF,Manchester City
Manuel Akanji,0.0072703252993145725,DF,Manchester City
Nathan Aké,0.0050003955534651525,DF,Manchester City
Rico Lewis,0.0013242273190150777,DF,Manchester City
Joško Gvardiol,0.008434546902713641,DF,Manchester City
Aymeric Laporte,0.0007075471698113208,DF,Manchester City
Thomas Partey,0.0021036807840413667,DF,Arsenal
Benjamin White,0.009700272319348113,DF,Arsenal
William Saliba,0.008392733041400811,DF,Arsenal
Jurriën Timber,0.0008339809168188705,DF,Arsenal
Takehiro Tomiyasu,0.004604483080836562,DF,Arsenal
Gabriel Magalhães,0.009309303914813181,DF,Arsenal
Willy Boly,0.007793783302713449,DF,Nottingham Forest
Joe Worrall,0.0020316702124030545,DF,Nottingham Forest
Scott McKenna,0.002099685486838111,DF,Nottingham Forest
Neco Williams,0.006790854564436825,DF,Nottingham Forest
Max Aarons,0.003696475829215312,DF,Bournemouth
Illia Zabarnyi,0.010051097361872883,DF,Bournemouth
Marcos Senesi,0.009400609252931997,DF,Bournemouth
Miloš Kerkez,0.005655848673797991,DF,Bournemouth
Chris Mepham,0.002754719131061712,DF,Bournemouth
James Hill,0.0011525511315465021,DF,Bournemouth
Vladimír Coufal,0.013400664115808567,DF,West Ham
Kurt Zouma,0.00847274737683588,DF,West Ham
Nayef Aguerd,0.005058091030191753,DF,West Ham
Emerson Palmieri,0.014056624590498267,DF,West Ham
Thilo Kehrer,0.0007081688459076831,DF,West Ham
James Milner,0.0017324583297629156,DF,Brighton
Jan Paul van Hecke,0.008611186759433844,DF,Brighton
Lewis Dunk,0.0076117515102478665,DF,Brighton
Pervis Estupiñán,0.004704634060609788,DF,Brighton
Joël Veltman,0.005494417916022025,DF,Brighton
Mads Juel Andersen,0.0021990947333480042,DF,Luton
Tom Lockyer,0.005936941796970548,DF,Luton
Amari'i Bell,0.007507767438887714,DF,Luton
Nathan Patterson,0.003848425996008053,DF,Everton
Michael Keane,0.0017860132530619916,DF,Everton
James Tarkowski,0.014979797357566106,DF,Everton
Ashley Young,0.006313681512856993,DF,Everton
Kenny Tete,0.004989041682085224,DF,Fulham
Issa Diop,0.005417697791296983,DF,Fulham
Tim Ream,0.005486555048123808,DF,Fulham
Antonee Robinson,0.018486990459287568,DF,Fulham
Anel Ahmedhodžić,0.01226087930456768,DF,Sheffield Utd
John Egan,0.0031688325449273505,DF,Sheffield Utd
Jack Robinson,0.010093580097499213,DF,Sheffield Utd
Yasser Larouci,0.0009948412767214704,DF,Sheffield Utd
Joel Ward,0.00626762004218821,DF,Crystal Palace
Joachim Andersen,0.012310567317182062,DF,Crystal Palace
Marc Guéhi,0.005404803712632323,DF,Crystal Palace
Tyrick Mitchell,0.006893103752083262,DF,Crystal Palace
James Tomkins,0.0007254660353774398,DF,Crystal Palace
Kieran Trippier,0.00912804115510834,DF,Newcastle
Fabian Schär,0.01005703854985188,DF,Newcastle
Sven Botman,0.003867166085323977,DF,Newcastle
Dan Burn,0.010826681854534722,DF,Newcastle
Matty Cash,0.005592208800505811,DF,Aston Villa
