Player,Score,Category,team
Angelo Ogbonna,0.009757117912900825,DF,West Ham
Aaron Cresswell,0.007983778690895262,DF,West Ham
James Collins,0.0037656049055851447,DF,West Ham
Michael Keane,0.010057927308436696,DF,Everton
Phil Jagielka,0.008389751721699746,DF,Everton
Ramiro Funes Mori,0.0009850441344502832,DF,Everton
Antonio Valencia,0.009285253728521854,DF,Manchester United
Victor Lindelöf,0.005281599260805815,DF,Manchester United
Chris Smalling,0.009684542720846932,DF,Manchester United
Phil Jones,0.008028430822715527,DF,Manchester United
Vincent Kompany,0.006962378090652663,DF,Manchester City
Oleksandr Zinchenko,0.0035505545381187735,DF,Manchester City
Benjamin Mendy,0.0015730259932263293,DF,Manchester City
Bruno Saltor,0.0069440808804940475,DF,Brighton
Kieran Trippier,0.005703129851200999,DF,Tottenham
Jan Vertonghen,0.014440898474914185,DF,Tottenham
Ben Davies,0.006565896165152962,DF,Tottenham
Aleksandar Dragović,0.0036140770038816158,DF,Leicester
Ainsley Maitland-Niles,0.0022297975635755148,DF,Arsenal
Konstantinos Mavropanos,0.0014072028081683196,DF,Arsenal
Antonio Rüdiger,0.008333739812977794,DF,Chelsea
Tommy Smith,0.005472924257158136,DF,Huddersfield
Scott Malone,0.004417455653289597,DF,Huddersfield
Kyle Naughton,0.00991934430996876,DF,Swansea
Federico Fernández,0.00800412047031377,DF,Swansea
Jan Bednarek,0.0019288784533641207,DF,Southampton
Calum Chambers,0.004163167200681417,DF,Arsenal
Per Mertesacker,0.0019168758404385245,DF,Arsenal
Davide Zappacosta,0.0010227400635419196,DF,Chelsea
Nathaniel Clyne,0.0012582611195212246,DF,Liverpool
Alberto Moreno,0.0051382364567910295,DF,Liverpool
Kyle Walker,0.012137913768677362,DF,Manchester City
Nicolás Otamendi,0.01563879934613891,DF,Manchester City
Séamus Coleman,0.0035855463450288902,DF,Everton
Leighton Baines,0.005312231982401681,DF,Everton
Simon Francis,0.009335611246906992,DF,Bournemouth
Yohan Benalouane,0.0011193073751330012,DF,Leicester
Patrice Evra,0.0011389149159023696,DF,West Ham
