Player,Score,Category,team
Vicente Guaita,0.0319856999940863,GK,Crystal Palace
Aaron Ramsdale,0.04583611494708099,GK,Arsenal
Marek Rodák,0.005959149787619551,GK,Fulham
Alisson,0.047153090908698916,GK,Liverpool
Mark Travers,0.0159085397271888,GK,Bournemouth
Emiliano Martínez,0.04288479236290639,GK,Aston Villa
Illan Meslier,0.04026247248031203,GK,Leeds
José Sá,0.043613902457246854,GK,Wolves
Danny Ward,0.03110318672397268,GK,Leicester
David Raya,0.04437200469554001,GK,Brentford
Nick Pope,0.044071459847215444,GK,Newcastle
Dean Henderson,0.02245446275992018,GK,Nottingham Forest
Hugo Lloris,0.03074372518734173,GK,Tottenham
Gavin Bazunu,0.037562434159224806,GK,Southampton
Jordan Pickford,0.04470101023392256,GK,Everton
Edouard Mendy,0.014412993202855554,GK,Chelsea
David De Gea,0.046636769075616244,GK,Manchester United
Robert Sánchez,0.028566419681583095,GK,Brighton
Łukasz Fabiański,0.0482407966900402,GK,West Ham
Alphonse Aréola,0.006884154980984571,GK,West Ham
Ederson,0.042186745007422234,GK,Manchester City
Bernd Leno,0.04276025866140496,GK,Fulham
Neto,0.03358225405420078,GK,Bournemouth
Jason Steele,0.02325277512697209,GK,Brighton
Kepa Arrizabalaga,0.03602768980473351,GK,Chelsea
Keylor Navas,0.024351369378535256,GK,Nottingham Forest
Daniel Iversen,0.016247461291410477,GK,Leicester
Joe Whitworth,0.0061891286612681135,GK,Crystal Palace
Asmir Begović,0.00498517210263761,GK,Everton
Robin Olsen,0.008504463852845343,GK,Aston Villa
Fraser Forster,0.019187293027247893,GK,Tottenham
Wayne Hennessey,0.007257206496715777,GK,Nottingham Forest
Martin Dúbravka,0.0064617347948181586,GK,Newcastle
Stefan Ortega,0.007358827922785048,GK,Manchester City
Sam Johnstone,0.013820082394374421,GK,Crystal Palace
Alex McCarthy,0.014473588007472922,GK,Southampton
Joel Robles,0.008187083370392168,GK,Leeds
Daniel Bentley,0.005916249174904201,GK,Wolves
Caoimhin Kelleher,0.005897436966502199,GK,Liverpool
Nathaniel Clyne,0.004769042142426495,DF,Crystal Palace
Joachim Andersen,0.008438395588125631,DF,Crystal Palace
Marc Guéhi,0.010851971917591423,DF,Crystal Palace
Tyrick Mitchell,0.008428677152591657,DF,Crystal Palace
Benjamin White,0.010331020984612627,DF,Arsenal
William Saliba,0.008882813595303638,DF,Arsenal
Gabriel Magalhães,0.012605056692744818,DF,Arsenal
Oleksandr Zinchenko,0.008561900200285574,DF,Arsenal
Kieran Tierney,0.0026352413867072456,DF,Arsenal
Kenny Tete,0.009990728167359344,DF,Fulham
Tosin Adarabioyo,0.007295222545143982,DF,Fulham
Antonee Robinson,0.010329402252909257,DF,Fulham
João Palhinha,0.001071753960443214,DF,Fulham
Shane Duffy,0.0007460467960888806,DF,Fulham
