Player,Category,total_score,seasons_played,avg_score,team
Chris Richards,DF,0.0127540726687311,3,0.0042513575562437,Crystal Palace
Àngel Rangel,DF,0.0124425970744942,3,0.004147532358164734,Swansea
Fabian Delph,DF,0.012385542602648401,2,0.0061927713013242005,Manchester City
Clément Lenglet,DF,0.012270969499859799,2,0.0061354847499298995,Aston Villa
Lamine Koné,DF,0.012222606014316201,2,0.006111303007158101,Sunderland
Tariq Lamptey,DF,0.0119273526617267,6,0.0019878921102877835,Brighton
Rayan Aït Nouri,DF,0.0118157187879694,5,0.00236314375759388,Wolves
Brandon Williams,DF,0.0116137302370926,3,0.0038712434123642,Norwich
John O'Shea,DF,0.0115546951831181,2,0.00577734759155905,Sunderland
Ahmed Hegazy,DF,0.0115418301494672,2,0.0057709150747336,West Brom
Victor Kristiansen,DF,0.011488601347875101,2,0.005744300673937551,Leicester
Billy Jones,DF,0.0114633596364494,2,0.0057316798182247,Sunderland
Martín Montoya,DF,0.0114612750914763,2,0.00573063754573815,Brighton
Ragnar Klavan,DF,0.0114580837506457,2,0.00572904187532285,Liverpool
Philipp Wollscheid,DF,0.011443757509012999,2,0.0057218787545064995,Stoke City
Danilo,DF,0.011289738429519101,2,0.005644869214759551,Manchester City
Geoff Cameron,DF,0.0110613569359832,3,0.0036871189786610668,Stoke City
Jakub Kiwior,DF,0.0109694768408311,3,0.0036564922802770333,Arsenal
Diego Carlos,DF,0.0108568915962434,3,0.003618963865414467,Aston Villa
Álex Moreno,DF,0.0108468229072637,3,0.003615607635754567,Nottingham Forest
Emerson Royal,DF,0.010840828750686999,3,0.003613609583562333,Tottenham
Per Mertesacker,DF,0.0107813472667395,3,0.0035937824222465,Arsenal
Diego Rico,DF,0.0107556768353099,2,0.00537783841765495,Bournemouth
Bruno Saltor,DF,0.0107202217540198,2,0.0053601108770099,Brighton
Nayef Aguerd,DF,0.0106887050650857,2,0.00534435253254285,West Ham
Dean Huijsen,DF,0.0106824456651181,1,0.0106824456651181,Bournemouth
Maxime Le Marchand,DF,0.0106299983004173,2,0.00531499915020865,Fulham
Maxence Lacroix,DF,0.0105984526818515,1,0.0105984526818515,Crystal Palace
Denis Odoi,DF,0.0105890610948379,2,0.00529453054741895,Fulham
Joleon Lescott,DF,0.010453010081069799,2,0.0052265050405348994,Sunderland
Eliaquim Mangala,DF,0.0103362177910441,2,0.00516810889552205,Everton
Bruno Ecuele Manga,DF,0.0102122359298331,1,0.0102122359298331,Cardiff
Igor Júlio,DF,0.0100591237983669,2,0.00502956189918345,Brighton
Jack O'Connell,DF,0.010038925390051799,2,0.005019462695025899,Sheffield Utd
