Category,n,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,RMSE,MAE,a_intercept,b_slope
GK,9,0.27615304488938863,0.47196179260238613,0.253546276418555,0.3454475304692257,0.1301822351611192,0.11126618796858276,6.345593377977465,9.755456227185512
DF,62,0.18426621976481658,0.1516592137215341,0.13564061971698996,0.12123848219639932,0.26392118375094914,0.22265964498710056,6.882677998168348,11.248674153972207
MF,103,0.5735666117876113,2.4103858533460064e-10,0.4378207031848671,6.717199333406063e-11,0.23199653361977082,0.17085573864215245,6.733445775128563,54.658647181893805
FW,68,0.26488612326523175,0.029038364066160973,0.1755628443036036,0.0350741748712671,0.3079982501570272,0.23423703560391626,6.915388159420416,17.140441365370737
