Player,Score,Category,team
Petr Čech,0.04304747208724559,GK,Arsenal
Joel Robles,0.0241918254420306,GK,Everton
Tom Heaton,0.040828355438759394,GK,Burnley
Adrián,0.021013096507230874,GK,West Ham
Thibaut Courtois,0.04187694475144089,GK,Chelsea
Jordan Pickford,0.03608784039467013,GK,Sunderland
David Marshall,0.020610886460018955,GK,Hull City
Hugo Lloris,0.03973782210239748,GK,Tottenham
Kasper Schmeichel,0.038479846845573366,GK,Leicester
Ryan Allsop,0.004661739303017311,GK,Bournemouth
Simon Mignolet,0.03426534071955829,GK,Liverpool
Brad Guzan,0.014344175897190548,GK,Middlesbrough
Joel Pereira,0.0047139465628626654,GK,Manchester United
Wayne Hennessey,0.038977143909016854,GK,Crystal Palace
Fraser Forster,0.046006079337015456,GK,Southampton
Jack Butland,0.008814762448358406,GK,Stoke City
Kristoffer Nordfeldt,0.004642007161937662,GK,Swansea
Ben Foster,0.04786101282937369,GK,West Brom
Heurelho Gomes,0.04516520202903816,GK,Watford
Willy Caballero,0.02277179027601861,GK,Manchester City
Sergio Romero,0.005658263735046554,GK,Manchester United
Asmir Begović,0.005622810006266174,GK,Chelsea
David De Gea,0.04287162369746024,GK,Manchester United
Eldin Jakupović,0.02661758178357156,GK,Hull City
Artur Boruc,0.04151788680579146,GK,Bournemouth
Łukasz Fabiański,0.04545398854231947,GK,Swansea
Maarten Stekelenburg,0.02500062691037223,GK,Everton
Claudio Bravo,0.02758555340510809,GK,Manchester City
Lee Grant,0.035478489080723485,GK,Stoke City
Darren Randolph,0.028398550660511196,GK,West Ham
Emiliano Martínez,0.0058111805256452174,GK,Arsenal
Víctor Valdés,0.03543940832470368,GK,Middlesbrough
Michel Vorm,0.008961885942659502,GK,Tottenham
David Ospina,0.005428230135639829,GK,Arsenal
Paul Robinson,0.006758478272647677,GK,Burnley
Vito Mannone,0.01380382304768896,GK,Sunderland
Costel Pantilimon,0.004961108486892438,GK,Watford
Ron-Robert Zieler,0.012043835386705191,GK,Leicester
Loris Karius,0.015655475618324737,GK,Liverpool
Adam Federici,0.005693913177957338,GK,Bournemouth
Steve Mandanda,0.013926999749442039,GK,Crystal Palace
Shay Given,0.009212996201768194,GK,Stoke City
Gabriel Paulista,0.006451569564237719,DF,Arsenal
Laurent Koscielny,0.013039026908426694,DF,Arsenal
Rob Holding,0.0034205408807297484,DF,Arsenal
Per Mertesacker,0.0009495852553992597,DF,Arsenal
Mason Holgate,0.005478294719757228,DF,Everton
Phil Jagielka,0.008642471078305698,DF,Everton
Ashley Williams,0.011655698293161397,DF,Everton
Leighton Baines,0.008599836195628003,DF,Everton
Matthew Lowton,0.009738564160123371,DF,Burnley
Kevin Long,0.0014709169005541773,DF,Burnley
James Tarkowski,0.0024380996063617794,DF,Burnley
Stephen Ward,0.009654926147508871,DF,Burnley
José Fonte,0.011099444369291868,DF,West Ham
James Collins,0.005517103890147284,DF,West Ham
Angelo Ogbonna,0.006554073139388905,DF,West Ham
César Azpilicueta,0.014108762391109574,DF,Chelsea
David Luiz,0.011015335074352914,DF,Chelsea
John Terry,0.002246294261044783,DF,Chelsea
Gary Cahill,0.011952099646708242,DF,Chelsea
Billy Jones,0.005809228441558373,DF,Sunderland
John O'Shea,0.005888485939008302,DF,Sunderland
Joleon Lescott,0.0011688649686427558,DF,Sunderland
Andrea Ranocchia,0.005012185859739388,DF,Hull City
Michael Dawson,0.005409354195909049,DF,Hull City
Curtis Davies,0.008286118219373799,DF,Hull City
Andrew Robertson,0.007139827348608891,DF,Hull City
Ahmed El-Mohamady,0.005866289473829633,DF,Hull City
Kieran Trippier,0.002213459159367592,DF,Tottenham
Toby Alderweireld,0.009371057899653612,DF,Tottenham
Jan Vertonghen,0.011548031575610643,DF,Tottenham
Ben Davies,0.0047099528919562735,DF,Tottenham
Danny Simpson,0.008495318494046765,DF,Leicester
Yohan Benalouane,0.002814767849620592,DF,Leicester
Christian Fuchs,0.010624287406573686,DF,Leicester
Ben Chilwell,0.003230292027578947,DF,Leicester
Adam Smith,0.009637689939748777,DF,Bournemouth
Simon Francis,0.010411579312423643,DF,Bournemouth
Steve Cook,0.012529921456272653,DF,Bournemouth
Charlie Daniels,0.01102894751794183,DF,Bournemouth
Nathaniel Clyne,0.01204043617387474,DF,Liverpool
Joël Matip,0.010932559779801789,DF,Liverpool
Dejan Lovren,0.010187059576613951,DF,Liverpool
James Milner,0.011913380637432896,DF,Liverpool
Alberto Moreno,0.0013125025584836412,DF,Liverpool
Fábio,0.006476782193153239,DF,Middlesbrough
Calum Chambers,0.008551485029132083,DF,Middlesbrough
Ben Gibson,0.011866656988860585,DF,Middlesbrough
George Friend,0.0074429058498034035,DF,Middlesbrough
Daniel Ayala,0.0037552285699929975,DF,Middlesbrough
Timothy Fosu-Mensah,0.0012101962481155847,DF,Manchester United
Eric Bailly,0.008259446230373299,DF,Manchester United
Phil Jones,0.006496658212289331,DF,Manchester United
Demetri Mitchell,0.0011834262661993195,DF,Manchester United
Joel Ward,0.011085841969713163,DF,Crystal Palace
Martin Kelly,0.006253367980879465,DF,Crystal Palace
James Tomkins,0.007077896511250074,DF,Crystal Palace
Jeffrey Schlupp,0.003998957975921636,DF,Crystal Palace
Cédric Soares,0.009435256886339638,DF,Southampton
Jack Stephens,0.005587121981514686,DF,Southampton
Maya Yoshida,0.00855259243965301,DF,Southampton
Ryan Bertrand,0.009162926812888326,DF,Southampton
Jérémy Pied,0.0014054953067973211,DF,Southampton
Geoff Cameron,0.001972996008465047,DF,Stoke City
Ryan Shawcross,0.008683396408158994,DF,Stoke City
Bruno Martins Indi,0.009937834977414923,DF,Stoke City
Marc Muniesa,0.003074521488300495,DF,Stoke City
Kyle Naughton,0.00913882468838983,DF,Swansea
Federico Fernández,0.008589418829381133,DF,Swansea
Alfie Mawson,0.007744744132805178,DF,Swansea
Martin Olsson,0.0037008209265889562,DF,Swansea
Stephen Kingsley,0.003277774780620024,DF,Swansea
Craig Dawson,0.008671793549127492,DF,West Brom
Jonny Evans,0.008275278484341592,DF,West Brom
Marc Wilson,0.0012627553435370662,DF,West Brom
Daryl Janmaat,0.00289975757356295,DF,Watford
Valon Behrami,0.0012587436773080867,DF,Watford
José Holebas,0.006895737159028991,DF,Watford
Brandon Mason,0.0012621176898609968,DF,Watford
Andrew Eleftheriou,0.001007692859128741,DF,Watford
Fernandinho,0.0040811984546146604,DF,Manchester City
Vincent Kompany,0.0041178802756603175,DF,Manchester City
Nicolás Otamendi,0.013508231363674,DF,Manchester City
Gaël Clichy,0.009433763607266174,DF,Manchester City
Bacary Sagna,0.005574814225260091,DF,Manchester City
Eric Dier,0.008341927255453742,DF,Tottenham
Matt Targett,0.002299377920017037,DF,Southampton
Chris Smalling,0.004340737452754293,DF,Manchester United
Matteo Darmian,0.005786451219639762,DF,Manchester United
Aleksandar Kolarov,0.01060551352182525,DF,Manchester City
Pablo Zabaleta,0.0039488869708590715,DF,Manchester City
John Stones,0.009031252928893622,DF,Manchester City
Allan Nyom,0.00724792932699756,DF,West Brom
