Category,R2,n,intercept
GK,0.020710291677585646,9,6.738888888888889
DF,0.4533730690353306,62,6.961774193548388
MF,0.4870560778326558,103,7.024271844660196
FW,0.5237783610713918,68,7.06279411764706
