Player,Score,Category,team
David De Gea,0.045128118895345154,GK,Manchester United
Kasper Schmeichel,0.04577855979016883,GK,Leicester
Martin Dúbravka,0.0449220224155837,GK,Newcastle
Hugo Lloris,0.04385880243532506,GK,Tottenham
Asmir Begović,0.029150311603125395,GK,Bournemouth
Neil Etheridge,0.048164084266921044,GK,Cardiff
Fabri,0.0062079227794949975,GK,Fulham
Wayne Hennessey,0.02394618926064484,GK,Crystal Palace
Ben Hamer,0.010497599304940205,GK,Huddersfield
Kepa Arrizabalaga,0.042970740598086886,GK,Chelsea
Ben Foster,0.047057901800395596,GK,Watford
Mathew Ryan,0.04148030430328981,GK,Brighton
Rui Patrício,0.044615708183987565,GK,Wolves
Jordan Pickford,0.045314067033199575,GK,Everton
Alisson,0.049746921375456374,GK,Liverpool
Łukasz Fabiański,0.04830822244422585,GK,West Ham
Alex McCarthy,0.03030433819990648,GK,Southampton
Joe Hart,0.024212189402589734,GK,Burnley
Petr Čech,0.011178565337313269,GK,Arsenal
Ederson,0.04583419631409602,GK,Manchester City
Marcus Bettinelli,0.011278690673711754,GK,Fulham
Jonas Lössl,0.03839188973582453,GK,Huddersfield
Michel Vorm,0.006112713179167106,GK,Tottenham
Paulo Gazzaniga,0.0070623029909657395,GK,Tottenham
Bernd Leno,0.039244421649313875,GK,Arsenal
Sergio Rico,0.037079619287731805,GK,Fulham
Vicente Guaita,0.026149237588830053,GK,Crystal Palace
David Button,0.008163719789471113,GK,Brighton
Tom Heaton,0.023929446714789866,GK,Burnley
Angus Gunn,0.02023606451910054,GK,Southampton
Artur Boruc,0.01694033604827102,GK,Bournemouth
Julián Speroni,0.005060132346975494,GK,Crystal Palace
Willy Caballero,0.006101098932158327,GK,Chelsea
John Ruddy,0.005024716157524006,GK,Wolves
Mark Travers,0.006188458580369937,GK,Bournemouth
Fraser Forster,0.005027947198983359,GK,Southampton
Will Norris,0.003951307006858499,GK,Wolves
Joel Coleman,0.005381131855856278,GK,Huddersfield
Matteo Darmian,0.0019528386842637441,DF,Manchester United
Eric Bailly,0.002723477038056229,DF,Manchester United
Victor Lindelöf,0.009692872763381698,DF,Manchester United
Luke Shaw,0.008644228760561997,DF,Manchester United
Daniel Amartey,0.003128612482776406,DF,Leicester
Wes Morgan,0.006615624575965397,DF,Leicester
Harry Maguire,0.010030007366515261,DF,Leicester
Ben Chilwell,0.010171548091594243,DF,Leicester
DeAndre Yedlin,0.005303756121034241,DF,Newcastle
Jamaal Lascelles,0.00754828995774294,DF,Newcastle
Ciaran Clark,0.0032313843214349038,DF,Newcastle
Paul Dummett,0.0056136814171376965,DF,Newcastle
Serge Aurier,0.002019468433106253,DF,Tottenham
Davinson Sánchez,0.008475451865331274,DF,Tottenham
Jan Vertonghen,0.008731639577808373,DF,Tottenham
Ben Davies,0.006178264540609914,DF,Tottenham
Adam Smith,0.006259416930253616,DF,Bournemouth
Steve Cook,0.010176679049651192,DF,Bournemouth
Nathan Aké,0.010538520040163268,DF,Bournemouth
Charlie Daniels,0.004859628449374924,DF,Bournemouth
Simon Francis,0.004439440814240427,DF,Bournemouth
Lee Peltier,0.004031329982939872,DF,Cardiff
Sean Morrison,0.0071408743604513755,DF,Cardiff
Bruno Ecuele Manga,0.010212235929833191,DF,Cardiff
Joe Bennett,0.007182069693882813,DF,Cardiff
Cyrus Christie,0.0040723955857587995,DF,Fulham
Calum Chambers,0.002857150969871943,DF,Fulham
Maxime Le Marchand,0.009642258412405047,DF,Fulham
Joe Bryan,0.00510008157418592,DF,Fulham
Aaron Wan-Bissaka,0.011477358299983956,DF,Crystal Palace
James Tomkins,0.007484054372053539,DF,Crystal Palace
Mamadou Sakho,0.008320382659061567,DF,Crystal Palace
Patrick van Aanholt,0.009946962667386667,DF,Crystal Palace
