Player,Score,Category,team
James Trafford,0.03579456934105374,GK,Burnley
Ederson,0.038323368714658954,GK,Manchester City
Aaron Ramsdale,0.009917347821753797,GK,Arsenal
Matt Turner,0.022316194535892814,GK,Nottingham Forest
Neto,0.037610643713486464,GK,Bournemouth
Alphonse Aréola,0.040419367831572905,GK,West Ham
Jason Steele,0.02129226055137854,GK,Brighton
Thomas Kaminski,0.04445431962236995,GK,Luton
Jordan Pickford,0.04538645237662935,GK,Everton
Bernd Leno,0.04666854846318397,GK,Fulham
Wes Foderingham,0.007832134243008203,GK,Sheffield Utd
Sam Johnstone,0.024838547902427635,GK,Crystal Palace
Nick Pope,0.019704676065791193,GK,Newcastle
Emiliano Martínez,0.039456528417841495,GK,Aston Villa
Mark Flekken,0.04326981727049247,GK,Brentford
Guglielmo Vicario,0.04394994686816969,GK,Tottenham
Robert Sánchez,0.02083695299972345,GK,Chelsea
Alisson,0.036615468861810094,GK,Liverpool
André Onana,0.04718359865959666,GK,Manchester United
José Sá,0.040248218980238476,GK,Wolves
Bart Verbruggen,0.028299271804069888,GK,Brighton
Robin Olsen,0.00922114534617274,GK,Aston Villa
David Raya,0.04218503268857382,GK,Arsenal
Wesley Foderingham,0.03186038023791786,GK,Sheffield Utd
Thomas Strakosha,0.005860471864169,GK,Brentford
Stefan Ortega,0.013773365482199842,GK,Manchester City
Ionuț Radu,0.005732247730320213,GK,Bournemouth
Odysseas Vlachodimos,0.008957835091489131,GK,Nottingham Forest
Daniel Bentley,0.009033453515411601,GK,Wolves
Caoimhin Kelleher,0.015360540575708855,GK,Liverpool
Martin Dúbravka,0.028878070821813283,GK,Newcastle
Łukasz Fabiański,0.01239549841488919,GK,West Ham
Remi Matthews,0.004214299478191429,GK,Crystal Palace
Đorđe Petrović,0.028173305424762794,GK,Chelsea
Dean Henderson,0.025081959195052725,GK,Crystal Palace
Ivo Grbić,0.012351941001264913,GK,Sheffield Utd
Matz Sels,0.021618568119830647,GK,Nottingham Forest
Loris Karius,0.004779147686796645,GK,Newcastle
Arijanet Murić,0.014252942007388338,GK,Burnley
Mark Travers,0.007896259038989826,GK,Bournemouth
James Shea,0.003955301233907561,GK,Luton
Connor Roberts,0.0024073670509073873,DF,Burnley
Ameen Al-Dakhil,0.0033323480548586356,DF,Burnley
Dara O'Shea,0.009072409206761795,DF,Burnley
Jordan Beyer,0.005269589194676843,DF,Burnley
Vitinho,0.005470757187327949,DF,Burnley
Kyle Walker,0.01060361883834721,DF,Manchester City
Manuel Akanji,0.00929536522810297,DF,Manchester City
Nathan Aké,0.008026266317466684,DF,Manchester City
Rico Lewis,0.002035673633653632,DF,Manchester City
Joško Gvardiol,0.009916608602294513,DF,Manchester City
Aymeric Laporte,0.0007211804902018462,DF,Manchester City
Thomas Partey,0.002030406383922265,DF,Arsenal
Benjamin White,0.011190577976744368,DF,Arsenal
William Saliba,0.01313518745470012,DF,Arsenal
Jurriën Timber,0.0008418373796287373,DF,Arsenal
Takehiro Tomiyasu,0.004342045330346462,DF,Arsenal
