Player,Score,Category,team
Nick Pope,0.04108454656777935,GK,Burnley
David De Gea,0.030427002218174702,GK,Manchester United
Vicente Guaita,0.04278265548145312,GK,Crystal Palace
Alex McCarthy,0.03646728064727066,GK,Southampton
Marek Rodák,0.006217004589052651,GK,Fulham
Bernd Leno,0.043180380741541353,GK,Arsenal
Alisson,0.04161254261559935,GK,Liverpool
Illan Meslier,0.04100202236191189,GK,Leeds
Ederson,0.04279748466040653,GK,Manchester City
Emiliano Martínez,0.04876607094057416,GK,Aston Villa
Hugo Lloris,0.04381271499743572,GK,Tottenham
Jordan Pickford,0.037844466303033446,GK,Everton
Sam Johnstone,0.04745875127308186,GK,West Brom
Kasper Schmeichel,0.043941987744467795,GK,Leicester
Łukasz Fabiański,0.04081780490930636,GK,West Ham
Karl Darlow,0.029938451075480557,GK,Newcastle
Mathew Ryan,0.018855629845876548,GK,Arsenal
Kepa Arrizabalaga,0.01008254455802531,GK,Chelsea
Aaron Ramsdale,0.046182557236866977,GK,Sheffield Utd
Rui Patrício,0.049200016445402533,GK,Wolves
Alphonse Aréola,0.04145080377288822,GK,Fulham
Willy Caballero,0.00474879497464172,GK,Chelsea
Adrián,0.006820034028797254,GK,Liverpool
Edouard Mendy,0.0386166214608691,GK,Chelsea
Robin Olsen,0.010718963773514865,GK,Everton
Robert Sanchez,0.035182304142972395,GK,Brighton
Bailey Peacock-Farrell,0.008335376753590275,GK,Burnley
Dean Henderson,0.017752384173985405,GK,Manchester United
Caoimhin Kelleher,0.0058963664327152075,GK,Liverpool
Zack Steffen,0.004717377287422277,GK,Manchester City
Darren Randolph,0.006796972505592417,GK,West Ham
Fraser Forster,0.012144852766902678,GK,Southampton
Kiko Casilla,0.006889603939804254,GK,Leeds
David Button,0.0047887922680596474,GK,West Brom
Rúnar Alex Rúnarsson,0.004079828560404955,GK,Arsenal
Martin Dúbravka,0.023087335060975003,GK,Newcastle
João Virgínia,0.005120443766825748,GK,Everton
John Ruddy,0.0047001922821069885,GK,Wolves
Scott Carson,0.005168313905341671,GK,Manchester City
Jack Butland,0.00474934714373047,GK,Crystal Palace
Will Norris,0.005763375786118707,GK,Burnley
Matthew Lowton,0.010147226986252103,DF,Burnley
James Tarkowski,0.01035653329246804,DF,Burnley
Ben Mee,0.00863581735148456,DF,Burnley
Erik Pieters,0.003883493049184323,DF,Burnley
Aaron Wan-Bissaka,0.012840800838555853,DF,Manchester United
Eric Bailly,0.003390454313998188,DF,Manchester United
Harry Maguire,0.011359062317024193,DF,Manchester United
Luke Shaw,0.008336542350481256,DF,Manchester United
Axel Tuanzebe,0.002177760544439183,DF,Manchester United
Joel Ward,0.00685549219937006,DF,Crystal Palace
Cheikhou Kouyaté,0.008234590922375716,DF,Crystal Palace
Scott Dann,0.004269917365160476,DF,Crystal Palace
Tyrick Mitchell,0.006080856370284198,DF,Crystal Palace
Kyle Walker-Peters,0.009868810965970639,DF,Southampton
Jack Stephens,0.006851063395008038,DF,Southampton
Jan Bednarek,0.012781236505806034,DF,Southampton
Ryan Bertrand,0.008721631850930587,DF,Southampton
Jannik Vestergaard,0.010371666551717777,DF,Southampton
Denis Odoi,0.0017137936818249007,DF,Fulham
Michael Hector,0.001471032212274564,DF,Fulham
Tim Ream,0.003189497090375278,DF,Fulham
Joe Bryan,0.001850132211123171,DF,Fulham
Rob Holding,0.009741901032100628,DF,Arsenal
Gabriel,0.005465331084597195,DF,Arsenal
Kieran Tierney,0.006442068402963767,DF,Arsenal
Trent Alexander-Arnold,0.013095344678096471,DF,Liverpool
Joe Gomez,0.0025825582504142683,DF,Liverpool
Virgil van Dijk,0.0021682294764618255,DF,Liverpool
Andrew Robertson,0.012934471668304234,DF,Liverpool
Joël Matip,0.0034851533994297718,DF,Liverpool
Luke Ayling,0.014149126692077976,DF,Leeds
Robin Koch,0.004415973500159667,DF,Leeds
