Category,n,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,RMSE,MAE,a_intercept,b_slope
GK,9,0.27615304488938863,0.47196179260238613,0.253546276418555,0.3454475304692257,0.12880919079099906,0.1090275651715697,6.329053189404518,10.178214742987704
DF,62,0.32404656883863303,0.01018880685203451,0.21436537155273316,0.014326555056841541,0.25569914964209894,0.21717440140183825,6.783734373925256,24.92038146590778
MF,103,0.5813710237584462,1.2020708858502842e-10,0.4416444647847349,4.584431200134708e-11,0.22837241520572418,0.16970281114456998,6.740016591863495,52.886747727106936
FW,68,0.2585288563068662,0.033279721299818,0.17203394291056634,0.03890983382384135,0.30778396131091024,0.2340343662048077,6.915088228688745,17.170833090538313
