Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Odsonne Edouard,Crystal Palace,6.75,1552,30,0.41,1.1,14.3,0.7,0.3,0.1,0.0,4.0,0.0,0.0,0.0,0.0579896907216494,odsonne edouard,crystal palace,FW,0.0077698319805629
Adam Smith,Bournemouth,6.71,2156,28,0.0,0.0,24.7,1.0,0.9,0.5,0.0,6.0,0.0,2.0,0.0834879406307977,0.0834879406307977,adam smith,bournemouth,DF,0.0059660973588622
Frank Onyeka,Brentford,6.71,1155,26,0.08,0.7,22.7,1.9,1.8,0.5,0.0,8.0,0.0,0.0,0.1558441558441558,0.1558441558441558,frank onyeka,brentford,MF,0.0024488697323685
Jeffrey Schlupp,Crystal Palace,6.7,1355,29,0.13,0.7,16.3,1.6,0.5,0.1,0.0,1.0,0.0,0.0,0.1328413284132841,0.1328413284132841,jeffrey schlupp,crystal palace,MF,0.0026787574761687
Jeffrey Schlupp,Crystal Palace,6.7,1355,29,0.13,0.7,16.3,1.6,0.5,0.1,0.0,1.0,0.0,0.0,0.1328413284132841,0.1328413284132841,jeffrey schlupp,crystal palace,FW,0.0007954237489986
Justin Kluivert,Bournemouth,6.7,1934,32,0.33,0.9,12.8,0.7,0.4,0.0,0.0,5.0,0.0,0.0,0.046535677352637,0.046535677352637,justin kluivert,bournemouth,MF,0.0020837883120282
Justin Kluivert,Bournemouth,6.7,1934,32,0.33,0.9,12.8,0.7,0.4,0.0,0.0,5.0,0.0,0.0,0.046535677352637,0.046535677352637,justin kluivert,bournemouth,FW,0.0034388865447078
Nathan Collins,Brentford,6.69,2649,32,0.03,0.1,40.6,0.7,1.5,1.0,0.0,3.0,0.0,0.0,0.0339750849377123,0.1698754246885617,nathan collins,brentford,DF,0.0098727145523885
Dara O'Shea,Burnley,6.68,2894,33,0.09,0.2,42.9,0.6,1.1,0.9,0.0,5.0,1.0,0.0,0.1243953006219765,0.0932964754664823,dara o'shea,burnley,DF,0.0090724092067617
Jacob Bruun Larsen,Burnley,6.68,1248,32,0.43,1.2,25.3,0.3,0.5,0.1,0.0,1.0,0.0,0.0,0.0,0.0721153846153846,jacob bruun larsen,burnley,MF,0.0028219259729867
Jacob Bruun Larsen,Burnley,6.68,1248,32,0.43,1.2,25.3,0.3,0.5,0.1,0.0,1.0,0.0,0.0,0.0,0.0721153846153846,jacob bruun larsen,burnley,FW,0.003142479885581
Edward Nketiah,Arsenal,6.67,1073,27,0.42,1.0,14.0,0.6,0.3,0.0,0.0,3.0,0.0,0.0,0.1677539608574091,0.1677539608574091,edward nketiah,arsenal,FW,0.0059561388718981
Raul Jiménez,Fulham,6.67,1402,24,0.45,1.1,16.7,0.8,0.3,0.2,0.0,3.0,1.0,0.0,0.0,0.1925820256776034,raul jimenez,fulham,FW,0.0087340694097932
Neto,Bournemouth,6.67,2880,32,0.0,0.0,17.0,0.0,0.0,0.0,3.6,5.0,0.0,0.0,0.0,0.0,neto,bournemouth,GK,0.0376106437134864
Ashley Young,Everton,6.67,2288,31,0.0,0.1,22.1,1.5,0.9,0.2,0.0,5.0,1.0,1.0,0.0,0.0786713286713286,ashley young,everton,DF,0.0049515871778496
Ashley Young,Everton,6.67,2288,31,0.0,0.1,22.1,1.5,0.9,0.2,0.0,5.0,1.0,1.0,0.0,0.0786713286713286,ashley young,everton,MF,0.001603145804162
Lloyd Kelly,Bournemouth,6.67,1556,23,0.0,0.1,34.6,1.1,0.8,0.7,0.0,2.0,0.0,1.0,0.0578406169665809,0.1156812339331619,lloyd kelly,bournemouth,DF,0.0049096306786476
Illia Zabarnyi,Bournemouth,6.67,3330,37,0.03,0.1,39.7,0.9,0.9,0.9,0.0,5.0,0.0,0.0,0.0,0.0,illia zabarnyi,bournemouth,DF,0.0113384430153009
James Trafford,Burnley,6.66,2520,28,0.0,0.0,30.3,0.0,0.0,0.0,3.8,2.0,0.0,0.0,0.0,0.0,james trafford,burnley,GK,0.0357945693410537
Christian Eriksen,Manchester United,6.65,1139,22,0.08,0.3,50.1,1.0,0.3,0.5,0.0,1.0,0.0,0.0,0.1580333625987708,0.2370500438981562,christian eriksen,manchester united,MF,0.0043832955784959
Alex Scott,Bournemouth,6.65,1010,23,0.09,0.4,31.2,1.3,1.1,0.4,0.0,3.0,0.0,0.0,0.0891089108910891,0.3564356435643564,alex scott,bournemouth,MF,0.0026859545264055
Philip Billing,Bournemouth,6.65,1393,29,0.13,0.5,25.4,1.0,1.3,0.3,0.0,3.0,1.0,0.0,0.1292175161521895,0.4522613065326633,philip billing,bournemouth,MF,0.0041355091627782
Ryan Yates,Nottingham Forest,6.64,1986,35,0.05,0.3,29.7,1.8,1.0,0.7,0.0,6.0,0.0,0.0,0.0453172205438066,0.0906344410876132,ryan yates,nottingham forest,MF,0.0031938804466682
Orel Mangala,Nottingham Forest,6.64,1569,20,0.06,0.1,32.6,0.7,1.5,0.3,0.0,6.0,0.0,0.0,0.0,0.0,orel mangala,nottingham forest,MF,0.0034021862331802
Harry Toffolo,Nottingham Forest,6.63,1455,23,0.06,0.3,21.0,0.9,0.9,0.8,0.0,3.0,0.0,0.0,0.1855670103092783,0.1855670103092783,harry toffolo,nottingham forest,DF,0.0038997439325476
Harry Toffolo,Nottingham Forest,6.63,1455,23,0.06,0.3,21.0,0.9,0.9,0.8,0.0,3.0,0.0,0.0,0.1855670103092783,0.1855670103092783,harry toffolo,nottingham forest,MF,0.0007520680322158
Keane Lewis-Potter,Brentford,6.63,1441,30,0.19,1.4,17.3,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0624566273421235,0.1873698820263705,keane lewis-potter,brentford,MF,0.0015229354905489
Keane Lewis-Potter,Brentford,6.63,1441,30,0.19,1.4,17.3,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0624566273421235,0.1873698820263705,keane lewis-potter,brentford,FW,0.0034809530821825
Lyle Foster,Burnley,6.63,1906,24,0.24,0.8,14.5,0.5,0.1,0.1,0.0,0.0,1.0,0.0,0.1416579223504722,0.0472193074501574,lyle foster,burnley,MF,0.0011644337473429
Lyle Foster,Burnley,6.63,1906,24,0.24,0.8,14.5,0.5,0.1,0.1,0.0,0.0,1.0,0.0,0.1416579223504722,0.0472193074501574,lyle foster,burnley,FW,0.0081645908689814
Sasa Lukic,Fulham,6.62,1119,24,0.08,0.2,34.4,1.5,1.3,0.4,0.0,3.0,0.0,0.0,0.0,0.0,sasa lukic,fulham,MF,0.0026768362014616
Bernd Leno,Fulham,6.62,3420,38,0.0,0.0,28.6,0.0,0.0,0.0,3.5,3.0,0.0,0.0,0.0,0.0,bernd leno,fulham,GK,0.0466685484631839
Charlie Taylor,Burnley,6.62,2332,28,0.04,0.0,31.7,0.8,0.7,0.4,0.0,8.0,0.0,0.0,0.0385934819897084,0.1543739279588336,charlie taylor,burnley,DF,0.0067038980568814
Neal Maupay,Brentford,6.61,1424,31,0.38,1.3,18.5,0.4,0.1,0.0,0.0,8.0,0.0,0.0,0.1896067415730337,0.3160112359550561,neal maupay,brentford,FW,0.0080917015890723
Joel Ward,Crystal Palace,6.6,1982,26,0.0,0.0,27.6,1.3,0.6,0.5,0.0,4.0,0.0,0.0,0.0454086781029263,0.0,joel ward,crystal palace,DF,0.0058241552862272
