Player,Score,Category,team
David Raya,0.028995706521307788,GK,Brentford
Bernd Leno,0.0077595283098955865,GK,Arsenal
Nick Pope,0.044079671939298556,GK,Burnley
Robert Sánchez,0.04312562162010754,GK,Brighton
Edouard Mendy,0.04368314989689628,GK,Chelsea
Vicente Guaita,0.036488950755945666,GK,Crystal Palace
Jordan Pickford,0.04037105480867815,GK,Everton
Alex McCarthy,0.02169863660647268,GK,Southampton
Kasper Schmeichel,0.04223028419852101,GK,Leicester
José Sá,0.045995358595312494,GK,Wolves
David De Gea,0.049131630118006996,GK,Manchester United
Illan Meslier,0.04140300840369619,GK,Leeds
Freddie Woodman,0.007740138747260091,GK,Newcastle
Łukasz Fabiański,0.04259738526840637,GK,West Ham
Tim Krul,0.03369333434412928,GK,Norwich
Alisson,0.04315150144978725,GK,Liverpool
Hugo Lloris,0.04469127418593294,GK,Tottenham
Ederson,0.04626440642544315,GK,Manchester City
Daniel Bachmann,0.016331165103572968,GK,Watford
Emiliano Martínez,0.04613374031725305,GK,Aston Villa
Aaron Ramsdale,0.04140690960717766,GK,Arsenal
Jed Steer,0.0045804970788518515,GK,Aston Villa
Asmir Begović,0.006635153702169246,GK,Everton
Karl Darlow,0.012019525232430557,GK,Newcastle
Ben Foster,0.03682801464688634,GK,Watford
Kepa Arrizabalaga,0.007541349000708488,GK,Chelsea
Zack Steffen,0.004529133035005839,GK,Manchester City
Caoimhin Kelleher,0.005784568625007309,GK,Liverpool
Álvaro Fernández,0.016213962951469294,GK,Brentford
Jason Steele,0.0045776512342716544,GK,Brighton
Martin Dúbravka,0.03127195446595104,GK,Newcastle
Willy Caballero,0.0058360322606757845,GK,Southampton
Jonas Lössl,0.005644009712532249,GK,Brentford
Jack Butland,0.013897829326413806,GK,Crystal Palace
Fraser Forster,0.02495119203394644,GK,Southampton
Angus Gunn,0.014424720745968131,GK,Norwich
Wayne Hennessey,0.005592844904309883,GK,Burnley
Alphonse Aréola,0.004587354048601879,GK,West Ham
Ilan Meslier,0.007905036312954205,GK,Leeds
Kristoffer Klaesson,0.005060000636003668,GK,Leeds
Danny Ward,0.0046924436391787136,GK,Leicester
John Ruddy,0.00590306852362193,GK,Wolves
Robin Olsen,0.004551200659940255,GK,Aston Villa
Kristoffer Ajer,0.006308716804490605,DF,Brentford
Pontus Jansson,0.011343120827765462,DF,Brentford
Ethan Pinnock,0.010337462221696467,DF,Brentford
Mads Bech Sörensen,0.0026965280977306076,DF,Brentford
Calum Chambers,0.004011272768453298,DF,Aston Villa
Ben White,0.011079785103955835,DF,Arsenal
Pablo Marí,0.0014849257780087189,DF,Arsenal
Kieran Tierney,0.005908396344225735,DF,Arsenal
Nuno Tavares,0.0036534788280684375,DF,Arsenal
Matthew Lowton,0.006025358036247715,DF,Burnley
James Tarkowski,0.009765242626823658,DF,Burnley
Ben Mee,0.0053669244266772945,DF,Burnley
Charlie Taylor,0.009119388815339514,DF,Burnley
Adam Webster,0.005654935292607187,DF,Brighton
Shane Duffy,0.005211446167417335,DF,Brighton
Lewis Dunk,0.009273805016731324,DF,Brighton
Pascal Groß,0.0009112784143266667,DF,Brighton
Trevoh Chalobah,0.006315001713612247,DF,Chelsea
Andreas Christensen,0.00699485445788338,DF,Chelsea
Antonio Rüdiger,0.01227960078952214,DF,Chelsea
Emerson Palmieri,0.000751325207242306,DF,Chelsea
Reece James,0.0013244885467769865,DF,Chelsea
Joel Ward,0.008578640999865609,DF,Crystal Palace
Cheikhou Kouyaté,0.0014462235463408126,DF,Crystal Palace
Marc Guéhi,0.010957208971690946,DF,Crystal Palace
Tyrick Mitchell,0.011617211654463614,DF,Crystal Palace
Joachim Andersen,0.010809722883150056,DF,Crystal Palace
Séamus Coleman,0.007429688362183896,DF,Everton
Mason Holgate,0.0061367668628640815,DF,Everton
Michael Keane,0.009483400658492507,DF,Everton
Lucas Digne,0.008156255202357505,DF,Aston Villa
Yerry Mina,0.0031042671154122127,DF,Everton
Valentino Livramento,0.007136152766319221,DF,Southampton
Jack Stephens,0.0034880615421370147,DF,Southampton
Mohammed Salisu,0.011630075792144019,DF,Southampton
Romain Perraud,0.003522874439153687,DF,Southampton
Ricardo Pereira,0.003930026991609936,DF,Leicester
Daniel Amartey,0.007636302528858877,DF,Leicester
Çağlar Söyüncü,0.009495564109563533,DF,Leicester
Luke Thomas,0.006850929517630429,DF,Leicester
Jannik Vestergaard,0.002613664060849871,DF,Leicester
Max Kilman,0.008993954360529783,DF,Wolves
Conor Coady,0.009582050608931312,DF,Wolves
Romain Saïss,0.010150792581867336,DF,Wolves
Aaron Wan-Bissaka,0.006665400649609513,DF,Manchester United
Victor Lindelöf,0.007949009071098636,DF,Manchester United
Harry Maguire,0.009013241782572408,DF,Manchester United
Luke Shaw,0.004478542492895761,DF,Manchester United
Luke Ayling,0.009197646157771086,DF,Leeds
Pascal Struijk,0.008029001875067231,DF,Leeds
Liam Cooper,0.008747942775834074,DF,Leeds
Stuart Dallas,0.007675380743536137,DF,Leeds
Junior Firpo,0.005655686756446712,DF,Leeds
Jacob Murphy,0.0018823136373443028,DF,Newcastle
Emil Krafth,0.005738880355522056,DF,Newcastle
Federico Fernández,0.001998523668648339,DF,Newcastle
Ciaran Clark,0.003455376737864997,DF,Newcastle
Matt Ritchie,0.003304674583715349,DF,Newcastle
Vladimír Coufal,0.006335997228678146,DF,West Ham
Craig Dawson,0.007596986706336324,DF,West Ham
Angelo Ogbonna,0.0031296186081731323,DF,West Ham
Aaron Cresswell,0.008894574353044759,DF,West Ham
Ryan Fredericks,0.0013654493665349971,DF,West Ham
Ben Johnson,0.004870050222031996,DF,West Ham
Max Aarons,0.007878194636201312,DF,Norwich
Grant Hanley,0.009870592586265851,DF,Norwich
Ben Gibson,0.007113383784246193,DF,Norwich
Dimitrios Giannoulis,0.004173888587976507,DF,Norwich
Trent Alexander-Arnold,0.011674070916969483,DF,Liverpool
Joël Matip,0.011979616852339465,DF,Liverpool
Virgil van Dijk,0.01139484891040065,DF,Liverpool
Konstantinos Tsimikas,0.003487766262688624,DF,Liverpool
Japhet Tanganga,0.0026805890711760153,DF,Tottenham
Davinson Sánchez,0.0076580500254158105,DF,Tottenham
Eric Dier,0.011554478437556021,DF,Tottenham
Sergio Reguilón,0.00417678503379261,DF,Tottenham
Matt Doherty,0.0010788416422812647,DF,Tottenham
Cristian Romero,0.007874510517844937,DF,Tottenham
João Cancelo,0.016821583409676367,DF,Manchester City
Rúben Dias,0.01048530994567611,DF,Manchester City
Nathan Aké,0.004677366172405368,DF,Manchester City
Benjamin Mendy,0.001163327506527723,DF,Manchester City
Oleksandr Zinchenko,0.005724220517535444,DF,Manchester City
Craig Cathcart,0.007125092481826293,DF,Watford
William Troost-Ekong,0.0041891333247698476,DF,Watford
Christian Kabasele,0.003902541124030128,DF,Watford
Adam Masina,0.0038860160205138996,DF,Watford
Matty Cash,0.010355156235091274,DF,Aston Villa
Ezri Konsa,0.005987659975685243,DF,Aston Villa
Tyrone Mings,0.010399367300516264,DF,Aston Villa
Matt Targett,0.00956330518417338,DF,Newcastle
Cédric Soares,0.00575943068540909,DF,Arsenal
Rob Holding,0.0031463897147504484,DF,Arsenal
César Azpilicueta,0.006611405177554411,DF,Chelsea
Ashley Young,0.0030208416505760286,DF,Aston Villa
Axel Tuanzebe,0.0021134254320124934,DF,Aston Villa
Fabian Schär,0.006953506363987563,DF,Newcastle
Jamaal Lascelles,0.005335302581871944,DF,Newcastle
Solly March,0.0008590403264778685,DF,Brighton
Joe Gomez,0.0018245086128880165,DF,Liverpool
Erik Pieters,0.0026630413314525756,DF,Burnley
Kyle Walker,0.007229617217661985,DF,Manchester City
Aymeric Laporte,0.01213997688155928,DF,Manchester City
Bali Mumba,0.0008193989185704846,DF,Norwich
Jan Bednarek,0.009407005010251964,DF,Southampton
Kyle Walker-Peters,0.007973136099483968,DF,Southampton
Rayan Aït Nouri,0.0008134646401222405,DF,Wolves
Kortney Hause,0.0015815476180337823,DF,Aston Villa
Joël Veltman,0.010405652508351798,DF,Brighton
Diego Llorente,0.010050477805232294,DF,Leeds
Andrew Robertson,0.009406017975207973,DF,Liverpool
Thiago Silva,0.012332973147843105,DF,Chelsea
Sead Kolašinac,0.0010517439344246288,DF,Arsenal
Brandon Williams,0.0073409645394371,DF,Norwich
Timothy Castagne,0.00611755255173897,DF,Leicester
Francisco Sierralta,0.0020227043220391655,DF,Watford
Jeremy Ngakia,0.0032540168743753033,DF,Watford
Raphaël Varane,0.007030855823489596,DF,Manchester United
Diogo Dalot,0.007085791088755261,DF,Manchester United
Takehiro Tomiyasu,0.0068515008229917025,DF,Arsenal
Gabriel Magalhães,0.009949039177912514,DF,Arsenal
Andrew Omobamidele,0.0021879564045274675,DF,Norwich
Mads Roerslev Rasmussen,0.001772846497404177,DF,Brentford
Emerson Royal,0.003356260749471038,DF,Tottenham
Ben Davies,0.009312482741141574,DF,Tottenham
Joe Rodon,0.0009042619743672622,DF,Tottenham
Ben Godfrey,0.005724630282081387,DF,Everton
Ryan Bertrand,0.0015740041261492763,DF,Leicester
Jonny Evans,0.005702809561503536,DF,Leicester
Javier Manquillo,0.003920407937547177,DF,Newcastle
Isaac Hayden,0.0011708700294079802,DF,Newcastle
Jamal Lewis,0.0015389485885055412,DF,Newcastle
Danny Rose,0.002795818011732905,DF,Watford
Jonjoe Kenny,0.003639842630570078,DF,Everton
Marc Cucurella,0.010173546625239166,DF,Brighton
Dan Burn,0.008820743533532746,DF,Newcastle
Maxwel Cornet,0.0008145831726845897,DF,Burnley
James Milner,0.0012619007036068143,DF,Liverpool
Ibrahima Konaté,0.00466992282353657,DF,Liverpool
Ozan Kabak,0.003165954907200153,DF,Norwich
Kiko Femenía,0.007371989414393094,DF,Watford
Kurt Zouma,0.007016603660450399,DF,West Ham
Zanka,0.0023941472449534812,DF,Brentford
Jamie Shackleton,0.0017394271858585044,DF,Leeds
Charlie Cresswell,0.0012803263146079422,DF,Leeds
Ki-Jana Hoever,0.0007704113253185919,DF,Wolves
Nathan Collins,0.005084796413531688,DF,Burnley
James Tomkins,0.0022216805445063907,DF,Crystal Palace
Malang Sarr,0.0031292264156897774,DF,Chelsea
John Stones,0.004882118530809022,DF,Manchester City
Tariq Lamptey,0.002507268923777588,DF,Brighton
Neco Williams,0.0007594421112657947,DF,Liverpool
Nicolas N'Koulou,0.0011402840012204203,DF,Watford
Cody Drameh,0.0013563635680473732,DF,Leeds
Lyanco,0.0035255017501142436,DF,Southampton
Charlie Goode,0.001832746067632302,DF,Brentford
Eric Bailly,0.0013868017793108923,DF,Manchester United
Alex Telles,0.0062827844497706726,DF,Manchester United
Arthur Masuaku,0.0023190836337623503,DF,West Ham
Kalvin Phillips,0.0014307954078800645,DF,Leeds
Connor Roberts,0.005043150483277324,DF,Burnley
Nathaniel Clyne,0.004526594360616643,DF,Crystal Palace
Issa Diop,0.003328111493759261,DF,West Ham
Vitaly Janelt,0.001079550864385237,DF,Brentford
Harrison Ashby,0.0007663618100955584,DF,West Ham
Rico Henry,0.003538160665003143,DF,Brentford
Samir,0.005811071710125487,DF,Watford
Hassane Kamara,0.007081414106425955,DF,Watford
Hamza Choudhury,0.0011766231895754251,DF,Leicester
James Justin,0.004156419953433029,DF,Leicester
Sam Byram,0.003745383000588455,DF,Norwich
Jarrad Branthwaite,0.0014784427677809286,DF,Everton
Kevin Long,0.0013993063251239797,DF,Burnley
Vitaliy Mykolenko,0.003264518335062158,DF,Everton
Wesley Fofana,0.003185257762161331,DF,Leicester
Robin Koch,0.0031917086866541274,DF,Leeds
Finley Stevens,0.0007709314735798745,DF,Brentford
Ryan Sessegnon,0.0012367773076128765,DF,Tottenham
Marc Albrighton,0.001048715703410828,DF,Leicester
Nathan Ferguson,0.0007533045910815756,DF,Crystal Palace
Willy Boly,0.004036463536089544,DF,Wolves
Jonny Otto,0.001298304393614249,DF,Wolves
Marcos Alonso,0.0013432769634596981,DF,Chelsea
Jacob Lungi Sørensen,0.001381471256529634,DF,Norwich
Wilfred Ndidi,0.001279074226893028,DF,Leicester
Yan Valery,0.0018035252029311747,DF,Southampton
Phil Jones,0.0012595271377114727,DF,Manchester United
Kieran Trippier,0.0024273038382015798,DF,Newcastle
Paul Dummett,0.0011278762553227296,DF,Newcastle
Leo Fuhr Hjelde,0.0012229419377978129,DF,Leeds
Toti Gomes,0.002089254840831397,DF,Wolves
Fernando Marçal,0.0007478052568508902,DF,Wolves
Christoph Zimmermann,0.0010890847308618731,DF,Norwich
Alex Iwobi,0.001804142639956905,DF,Everton
Granit Xhaka,0.0010475787411680288,DF,Arsenal
Raphinha,0.0009310189179140794,DF,Leeds
Fernandinho,0.0017258239038932324,DF,Manchester City
Saman Ghoddos,0.0008913960691957208,DF,Brentford
CJ Egan-Riley,0.0007514819670285207,DF,Manchester City
Nathan Redmond,0.0008963670048876001,DF,Southampton
Ben Chilwell,0.0007473916332069058,DF,Chelsea
Sergi Canós,0.0033484515545711543,MF,Brentford
Frank Onyeka,0.0012216955546522138,MF,Brentford
Christian Nørgaard,0.009095469335670433,MF,Brentford
Vitaly Janelt,0.0055391127475146,MF,Brentford
Rico Henry,0.003631430890034486,MF,Brentford
Mads Bidstrup,0.0005277972469334663,MF,Brentford
Albert Sambi Lokonga,0.004463250671982051,MF,Arsenal
Granit Xhaka,0.007396343253101923,MF,Arsenal
Nicolas Pépé,0.0025366592882690867,MF,Arsenal
Emile Smith Rowe,0.007405919929205009,MF,Arsenal
Gabriel Martinelli,0.006269968891169987,MF,Arsenal
Bukayo Saka,0.01168548147041291,MF,Arsenal
Jóhann Guðmundsson,0.0019939302068036364,MF,Burnley
Ashley Westwood,0.007378480564175955,MF,Burnley
Jack Cork,0.0026334075600270967,MF,Burnley
Dwight McNeil,0.008356032302712016,MF,Burnley
Josh Brownhill,0.008332533728310285,MF,Burnley
Steven Alzate,0.0014752272653274006,MF,Brighton
Solly March,0.005675005695956821,MF,Brighton
Enock Mwepu,0.003025885168963592,MF,Brighton
Yves Bissouma,0.0065152392901508885,MF,Brighton
Leandro Trossard,0.004895173857039579,MF,Brighton
Adam Lallana,0.004623462367604196,MF,Brighton
Jakub Moder,0.004409429305898609,MF,Brighton
Alexis Mac Allister,0.005478570985952483,MF,Brighton
César Azpilicueta,0.0032795293558173086,MF,Chelsea
Jorginho,0.011889370173296247,MF,Chelsea
Mateo Kovačić,0.00950739306142014,MF,Chelsea
Marcos Alonso,0.01019091788109258,MF,Chelsea
Kai Havertz,0.0005403753320223096,MF,Chelsea
Jordan Ayew,0.0019026059926750328,MF,Crystal Palace
Jaïro Riedewald,0.0007126955946634142,MF,Crystal Palace
James McArthur,0.0059423408581144865,MF,Crystal Palace
Jeffrey Schlupp,0.0046124449918052614,MF,Crystal Palace
Jesurun Rak-Sakyi,0.0006010584199926103,MF,Crystal Palace
Allan,0.005201201818103438,MF,Everton
Abdoulaye Doucouré,0.006746887886843623,MF,Everton
Andros Townsend,0.0034716996967414093,MF,Everton
Demarai Gray,0.004296356210217396,MF,Everton
Richarlison,0.0010260901744283766,MF,Everton
Theo Walcott,0.0008687321695074167,MF,Southampton
James Ward-Prowse,0.01313603032620124,MF,Southampton
Oriol Romeu,0.009704527747243912,MF,Southampton
Moussa Djenepo,0.0012572882312945257,MF,Southampton
Nathan Redmond,0.0052180286074584095,MF,Southampton
Nathan Tella,0.001825825773296168,MF,Southampton
Ibrahima Diallo,0.0030870385401513363,MF,Southampton
Youri Tielemans,0.009427173012640148,MF,Leicester
Wilfred Ndidi,0.0036353657884094052,MF,Leicester
Ayoze Pérez,0.0015535288758852697,MF,Leicester
James Maddison,0.008460715661113886,MF,Leicester
Harvey Barnes,0.005271675455926872,MF,Leicester
Boubakary Soumaré,0.0031983173712195915,MF,Leicester
Ki-Jana Hoever,0.0009444209759078778,MF,Wolves
Rúben Neves,0.01108899683864177,MF,Wolves
João Moutinho,0.011362098660061534,MF,Wolves
Fernando Marçal,0.003822636849416205,MF,Wolves
Morgan Gibbs-White,0.0005209776939553691,MF,Wolves
Leander Dendoncker,0.0043577149539179095,MF,Wolves
Scott McTominay,0.006265161798005145,MF,Manchester United
Fred,0.007313039619966072,MF,Manchester United
Daniel James,0.002530484358940645,MF,Leeds
Bruno Fernandes,0.01237190149041121,MF,Manchester United
Paul Pogba,0.005310415318838409,MF,Manchester United
Nemanja Matić,0.005368191868738634,MF,Manchester United
Robin Koch,0.00204078920842031,MF,Leeds
Raphinha,0.008106990296582193,MF,Leeds
Rodrigo,0.004141898841802212,MF,Leeds
Mateusz Klich,0.006244216518250362,MF,Leeds
Jack Harrison,0.0058445657024363004,MF,Leeds
Isaac Hayden,0.0013214571673965734,MF,Newcastle
Jonjo Shelvey,0.005310941492567963,MF,Newcastle
Miguel Almirón,0.002565769042903213,MF,Newcastle
Ryan Fraser,0.001587556114804162,MF,Newcastle
Sean Longstaff,0.003493519536244453,MF,Newcastle
Declan Rice,0.010391236038857499,MF,West Ham
Tomáš Souček,0.007717242994457885,MF,West Ham
Jarrod Bowen,0.0074436382505017554,MF,West Ham
Saïd Benrahma,0.00546021672991186,MF,West Ham
Pablo Fornals,0.008432642127772064,MF,West Ham
Pierre Lees Melou,0.005348610932499438,MF,Norwich
Billy Gilmour,0.006122967016140858,MF,Norwich
Lukas Rupp,0.0022752034318931063,MF,Norwich
Kieran Dowell,0.001938591403962796,MF,Norwich
Alex Oxlade-Chamberlain,0.0019198192281370276,MF,Liverpool
James Milner,0.003975523384379726,MF,Liverpool
Naby Keïta,0.004562735461729883,MF,Liverpool
Fabinho,0.009422708788007262,MF,Liverpool
Harvey Elliott,0.002555556092041917,MF,Liverpool
Pierre-Emile Højbjerg,0.012598498921493527,MF,Tottenham
Oliver Skipp,0.003408543099618728,MF,Tottenham
Dele Alli,0.001681196959593522,MF,Everton
Giovani Lo Celso,0.001115025925352244,MF,Tottenham
İlkay Gündoğan,0.011576852957965764,MF,Manchester City
Fernandinho,0.004563327678209114,MF,Manchester City
Jack Grealish,0.003094327923804269,MF,Manchester City
Kevin De Bruyne,0.01874082539685069,MF,Manchester City
Oghenekaro Etebo,0.0009510457590636864,MF,Watford
Ismaïla Sarr,0.0021209084108194556,MF,Watford
Tom Cleverley,0.004284307619427131,MF,Watford
Juraj Kucka,0.003555085299278429,MF,Watford
Ken Sema,0.0009698218981692007,MF,Watford
Dan Gosling,0.0006714567520416157,MF,Watford
John McGinn,0.012155200173756882,MF,Aston Villa
Marvelous Nakamba,0.0018407806683989974,MF,Aston Villa
Anwar El Ghazi,0.0008550755981417649,MF,Everton
Emiliano Buendía,0.002874613319153967,MF,Aston Villa
Ashley Young,0.000858935853524861,MF,Aston Villa
Jacob Ramsey,0.006000928988831409,MF,Aston Villa
Reece James,0.013820269242655833,MF,Chelsea
N'Golo Kanté,0.0094475512107906,MF,Chelsea
Hakim Ziyech,0.001109446292047813,MF,Chelsea
Douglas Luiz,0.011090928309711628,MF,Aston Villa
