Player,Score,Category,team
Alisson,0.03651056272172784,GK,Liverpool
Adrián,0.014713369094391936,GK,Liverpool
Tim Krul,0.04256694981836699,GK,Norwich
Łukasz Fabiański,0.02824033096152624,GK,West Ham
Ederson,0.04095480441831663,GK,Manchester City
Aaron Ramsdale,0.04481573222579177,GK,Bournemouth
Dean Henderson,0.04500412820947135,GK,Sheffield Utd
Nick Pope,0.0460936473125582,GK,Burnley
Angus Gunn,0.014660649645326464,GK,Southampton
Vicente Guaita,0.04699020286559228,GK,Crystal Palace
Jordan Pickford,0.04702240559783568,GK,Everton
Kasper Schmeichel,0.04671777075386433,GK,Leicester
Rui Patrício,0.04947972086421215,GK,Wolves
Ben Foster,0.04758910691917742,GK,Watford
Mathew Ryan,0.046566491525418356,GK,Brighton
Hugo Lloris,0.026013682876804094,GK,Tottenham
Tom Heaton,0.02494809770111263,GK,Aston Villa
Martin Dúbravka,0.0448294176430298,GK,Newcastle
Bernd Leno,0.03612702188490384,GK,Arsenal
David De Gea,0.04780228657645221,GK,Manchester United
Kepa Arrizabalaga,0.0400161606327067,GK,Chelsea
Paulo Gazzaniga,0.023827741387105604,GK,Tottenham
Roberto Jiménez,0.012944828163500486,GK,West Ham
Ralf Fährmann,0.005344287744228104,GK,Norwich
Michael McGovern,0.005114335010244434,GK,Norwich
Wayne Hennessey,0.007142376661213921,GK,Crystal Palace
Alex McCarthy,0.03438443548368585,GK,Southampton
Claudio Bravo,0.009149540748536574,GK,Manchester City
Jed Steer,0.004093277996048989,GK,Aston Villa
Ørjan Nyland,0.013045024819478397,GK,Aston Villa
Simon Moore,0.006192665681420743,GK,Sheffield Utd
David Martin,0.009690047520202593,GK,West Ham
Mark Travers,0.005118555434665374,GK,Bournemouth
Pepe Reina,0.01693213954004167,GK,Aston Villa
Darren Randolph,0.0061508804045452645,GK,West Ham
Willy Caballero,0.00935769902447285,GK,Chelsea
Emiliano Martínez,0.013849624132022037,GK,Arsenal
Trent Alexander-Arnold,0.012357119344234205,DF,Liverpool
Joe Gomez,0.008840338112429498,DF,Liverpool
Virgil van Dijk,0.014259485432528385,DF,Liverpool
Andrew Robertson,0.012960514884849448,DF,Liverpool
Max Aarons,0.009816828947474883,DF,Norwich
Grant Hanley,0.005231821190832235,DF,Norwich
Ben Godfrey,0.008912856539642315,DF,Norwich
Jamal Lewis,0.007966300240782214,DF,Norwich
Ryan Fredericks,0.0069800677293573865,DF,West Ham
Fabián Balbuena,0.004021362173328718,DF,West Ham
Issa Diop,0.007421389196826217,DF,West Ham
Aaron Cresswell,0.007934711520693583,DF,West Ham
Kyle Walker,0.009899315803500472,DF,Manchester City
John Stones,0.005539211230959802,DF,Manchester City
Aymeric Laporte,0.0061944299772875265,DF,Manchester City
Oleksandr Zinchenko,0.005278245839900428,DF,Manchester City
Chris Mepham,0.003955343521851807,DF,Bournemouth
Steve Cook,0.0073661039020446375,DF,Bournemouth
Nathan Aké,0.008155255108532556,DF,Bournemouth
